"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","67/2394","278/8545",0.241007194244604,0.86023662273189,-1.47795647659793,0.940649364022143,1,0.659038901601831,"FYN/NDUFS1/C6/CSNK2A2/MAPK1/NCF4/TUBB1/CAV2/CAV1/C5/MAPK8/PPP3CB/MAPK10/MAPK14/C7/ATF2/CREB1/EGR1/PPP3CC/PIK3CA/ITPR2/IL1B/KLC1/COX4I2/LAMC1/IL6/TUBB2A/TUBB2B/PPP3CA/UQCRC2/PIK3R1/CREB5/NOTCH1/NCAM1/ITPR1/CACNA1C/SLC25A4/ATP5F1A/COX7A1/NDUFS4/TUBA1A/PRNP/TUBB6/CREB3L2/CAV3/GRIN2A/MAPK11/COX8C/PPP3R2/RYR1/ND6/CYTB/ND2/GRIN3A/ND5/COX1/RYR3/ND3/ND4/ND1/ATP6/COX3/SDHD/CASP12/ND4L/ATP8/GRIN2B",67,67,278
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","17/2394","81/8545",0.209876543209877,0.74912074424745,-1.41526988020629,0.941723636163923,1,0.659038901601831,"MPO/UPP2/MGST1/GSTT2/GSTM5/UGT2B28/MGST3/DPYS/XDH/CYP3A4/CMPK1/TK2/CES2/DPYD/CES1/GSTM2/GSTA1",17,17,81
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","7/2394","39/8545",0.17948717948718,0.64065077222972,-1.40315665237586,0.948893109004213,1,0.659038901601831,"FAS/CD40/IL2/IL4/IL5/IL10/HLA-E",7,7,39
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","20/2394","95/8545",0.210526315789474,0.751440003517566,-1.51979325115577,0.952334476899566,1,0.659038901601831,"ATP6V0A1/CXCL2/FLT1/CXCL12/CCL2/TEK/TNFSF11/CXCL6/IL1B/IL6/TLR4/TNFRSF11A/ANGPT1/CXCL3/IL15/FOS/JUN/CSF1/ATP6V1E2/CCL3",20,20,95
"hsa03022","Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","8/2394","44/8545",0.181818181818182,0.648970912128807,-1.45631145337386,0.95329477460049,1,0.659038901601831,"GTF2H1/CCNH/TAF8/TAF4B/TAF1/TAF10/TAF7/GTF2A1L",8,8,44
"hsa05017","Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","32/2394","144/8545",0.222222222222222,0.793186670379653,-1.56139976517993,0.953702138285228,1,0.659038901601831,"ATXN3/ATG2B/RORA/PIK3C3/FGF14/MAPK8/MAPK10/AKT3/PIK3CA/ITPR2/GRIA3/ATG14/PUM1/PIK3R1/VLDLR/NRBF2/ITPR1/SLC25A4/PRKCA/GNAQ/RBPJ/KAT5/PLCB1/GRIN2A/SP1/RELN/RYR1/PIK3R4/MAP3K5/GRIN3A/ATXN1L/GRIN2B",32,32,144
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","21/2394","103/8545",0.203883495145631,0.727729517969681,-1.7342684683881,0.970682154265191,1,0.659038901601831,"PPP2R5A/PPP2R5B/SMG6/PPP2R3A/PPP2R5C/PPP2R3C/PPP2CB/PAPOLG/ETF1/SRRM1/PPP2R1B/PPP2R2B/DDX19B/WDR82/PCF11/NUDT21/PABPC5/GSPT2/PPP1CB/PAPOLB/PABPC4L",21,21,103
"hsa03430","Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","3/2394","23/8545",0.130434782608696,0.465566089135883,-1.60105772214999,0.975016556357077,1,0.659038901601831,"RFC1/MSH3/MLH3",3,3,23
"hsa04623","Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","16/2394","83/8545",0.192771084337349,0.688065545389578,-1.78149953080571,0.975154329434667,1,0.659038901601831,"MAVS/POLR2E/NFKBIA/SAMHD1/GSDME/IFNA8/POLR3GL/IL1B/IL6/IL33/RIPK1/CASP1/ZDHHC1/NLRP3/IFI16/CCL4",16,16,83
"hsa00513","Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","7/2394","43/8545",0.162790697674419,0.581055351557188,-1.71810678928279,0.97593824673921,1,0.659038901601831,"ALG9/MAN1A1/MGAT1/CHST9/MGAT4C/MAN2A2/MAN1A2",7,7,43
"hsa04744","Organismal Systems","Sensory system","hsa04744","Phototransduction","4/2394","29/8545",0.137931034482759,0.492322760925302,-1.70839658589596,0.979218434530604,1,0.659038901601831,"SLC24A1/RCVRN/CNGA1/CALM1",4,4,29
"hsa03440","Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","6/2394","41/8545",0.146341463414634,0.522342441469527,-1.91256756541649,0.986455063956803,1,0.659038901601831,"RAD52/MRE11/UIMC1/ATM/ABRAXAS1/RAD51B",6,6,41
"hsa03060","Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","4/2394","31/8545",0.129032258064516,0.460560002155927,-1.87705500055939,0.987046391413742,1,0.659038901601831,"SEC62/OXA1L/IMMP2L/UBL4B",4,4,31
"hsa05110","Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","8/2394","51/8545",0.156862745098039,0.559896473209167,-1.96654386426641,0.987254550251523,1,0.659038901601831,"CFTR/ATP6V0A1/TJP1/TJP2/ADCY3/PRKCA/PLCG2/ATP6V1E2",8,8,51
"hsa04721","Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","14/2394","79/8545",0.177215189873418,0.632541268783774,-2.04692916565751,0.988111937430021,1,0.659038901601831,"ATP6V0A1/CLTCL1/SLC1A3/STX1B/SLC6A2/SLC17A7/DNM1/STX2/STXBP1/UNC13C/SLC1A7/DNM3/VAMP2/ATP6V1E2",14,14,79
"hsa04950","Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","3/2394","26/8545",0.115384615384615,0.41184692500482,-1.87371082642409,0.988377786171403,1,0.659038901601831,"GCK/NR5A2/RFX6",3,3,26
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","19/2394","102/8545",0.186274509803922,0.664877061935885,-2.1241035046188,0.98970483192228,1,0.659038901601831,"CFH/MASP2/FCGR2B/C5/C3/MASP1/KRT17/IL10/C1R/DEFB1/KRT15/KRT13/KRT27/SELP/C1S/KRT14/CFD/KRT40/CFI",19,19,102
"hsa00240","Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","9/2394","58/8545",0.155172413793103,0.553863106040965,-2.12679124773692,0.991732732538317,1,0.659038901601831,"UPP2/NT5C2/DHODH/NT5C1A/NT5E/DPYS/CMPK1/TK2/DPYD",9,9,58
"hsa03420","Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","10/2394","63/8545",0.158730158730159,0.566561907414038,-2.15411084166609,0.99212102007676,1,0.659038901601831,"RFC1/ERCC8/POLR2E/GTF2H1/CCNH/DDB2/ERCC5/XPA/XPC/POLR2M",10,10,63
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","35/2394","173/8545",0.202312138728324,0.722120812628875,-2.30347918008755,0.993003618265232,1,0.659038901601831,"FAS/IFNGR1/TNFRSF1A/MAVS/JAK2/MAPK1/EP300/NFKBIA/CDK6/CCL2/CCND3/AKT3/IFNA8/TRIM25/PIK3CA/IL1B/RAF1/IL6/CALCOCO2/TLR4/IL33/CASP1/PML/IFNAR1/PIK3R1/SLC25A4/PRKCA/NLRX1/JAK1/NLRP3/TLR3/MAP2K1/TMPRSS2/SOCS3/KPNA5",35,35,173
"hsa03020","Genetic Information Processing","Transcription","hsa03020","RNA polymerase","4/2394","34/8545",0.117647058823529,0.419922354906875,-2.11424407248181,0.993751981378527,1,0.659038901601831,"POLR2E/POLR3GL/POLR1E/POLR2M",4,4,34
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","6/2394","45/8545",0.133333333333333,0.475912002227792,-2.19897776172954,0.994327005643849,1,0.659038901601831,"FAS/IL2/IL1B/KLRC1/IL6/HLA-E",6,6,45
"hsa01232","Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","14/2394","85/8545",0.164705882352941,0.587891296869625,-2.38207755485489,0.995691186904957,1,0.659038901601831,"UPP2/NT5C2/AMPD1/NT5C1A/GDA/NT5E/AK3/AK5/XDH/CMPK1/AK4/TK2/ADSS1/NUDT16",14,14,85
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","21/2394","117/8545",0.17948717948718,0.64065077222972,-2.44155893959421,0.995965787382903,1,0.659038901601831,"ARID1B/ING3/SMARCA2/SMARCD3/SMARCA1/BICRAL/INO80D/EPC1/BAZ2B/INO80/PHF10/MBD2/EPC2/SMARCC2/PBRM1/NFRKB/KAT5/EP400/MORF4L1/DPF3/BACC1",21,21,117
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","37/2394","188/8545",0.196808510638298,0.702476492650065,-2.57332617763584,0.996933267732261,1,0.659038901601831,"HDAC7/HDAC4/MAOB/GNB5/MAPK1/SOS2/HDAC5/CAMKK2/SLC29A1/GNAI2/SOS1/ATF2/CREB1/FOSB/GNG11/GNAI1/RAF1/CREB5/NTRK2/SHC3/DRD2/BRAF/MAP2K1/ADORA2B/GNG12/ADCY5/GNG7/CREB3L2/GRIN2A/DRD1/GNG2/MAOA/CALM1/GRIN3A/PPP1CB/GRIN2B/H2BK1",37,37,188
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","41/2394","205/8545",0.2,0.713868003341688,-2.58690309250531,0.996991974747118,1,0.659038901601831,"HDAC7/HDAC4/ACTN1/DLG1/PXN/MAPK1/EP300/NFKBIA/RBL2/CDK6/HDAC5/GTF2H1/CCND3/SRF/KAT2B/ATF2/CREB1/CCND2/PIK3CA/EGR2/CDKN1A/C3/STAT5A/UBR4/RB1/PIK3R1/CREB5/CDKN2B/GSN/RASA2/JAK1/RBPJ/YWHAG/STAT5B/JUN/EGR3/CREB3L2/HLA-E/DDX3X/GTF2A1L/H2BK1",41,41,205
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","33/2394","172/8545",0.191860465116279,0.684815235763828,-2.60500597111775,0.997315375053341,1,0.659038901601831,"RPS20/RPL31/RPL6/RPL3/RPL34/RPS13/RPS12/RPL22/RPS25/RPL21/RPL5/RPS4Y1/RPL27/RPS6/RSL24D1/RPL11/RPS27A/RPL32/RPS3A/RPL10/RPL26/RPL9/RPS14/RPL13/RPS7/RPL4/RPL15/RPLP2/RPL35A/RPS23/RPL37A/RPS4X/RPL10A",33,33,172
"hsa00511","Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","1/2394","18/8545",0.0555555555555556,0.198296667594913,-2.12408376368099,0.99732591982593,1,0.659038901601831,"MAN2C1",1,1,18
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","25/2394","138/8545",0.181159420289855,0.646619568244282,-2.61084654126975,0.997566547344651,1,0.659038901601831,"COX15/NDUFS1/ATP6V0A1/ATP4A/COX4I2/UQCRC2/ATP5F1A/COX7A1/NDUFS4/ATP5MG/COX8C/ND6/CYTB/ND2/ND5/COX1/ND3/ND4/ND1/ATP6/COX3/SDHD/ND4L/ATP8/ATP6V1E2",25,25,138
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","4/2394","38/8545",0.105263157894737,0.375720001758783,-2.40603993692983,0.997710780320569,1,0.659038901601831,"CD40/RFXAP/RAG1/CD8B2",4,4,38
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","35/2394","182/8545",0.192307692307692,0.6864115416747,-2.6676849887786,0.997787484563291,1,0.659038901601831,"FAS/IFNGR1/TAB2/TNFRSF1A/EIF2B3/MAVS/JAK2/SRSF5/NFKBIA/C5/CCL2/BIRC2/NECTIN1/HCFC2/AKT3/IFNA8/PIK3CA/IL1B/C3/CFP/IL6/PML/IFNAR1/PIK3R1/JAK1/TLR3/TSC1/TRAF6/PTPN11/SOCS3/HLA-E/PPP1CB/TLR9/ITGB3/SRSF8",35,35,182
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","5/2394","44/8545",0.113636363636364,0.405606820080504,-2.46595403524423,0.997921499525022,1,0.659038901601831,"FAS/IL2/CPE/IL1B/HLA-E",5,5,44
"hsa00510","Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","7/2394","55/8545",0.127272727272727,0.454279638490165,-2.53289675235527,0.99806287897753,1,0.659038901601831,"ALG9/MAN1A1/MGAT3/MGAT1/MGAT4C/MAN2A2/MAN1A2",7,7,55
"hsa03460","Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","7/2394","55/8545",0.127272727272727,0.454279638490165,-2.53289675235527,0.99806287897753,1,0.659038901601831,"REV3L/POLI/WDR48/POLK/REV1/FANCM/FAN1",7,7,55
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","55/2394","271/8545",0.202952029520295,0.724404800438982,-2.87619525249332,0.998784524142344,1,0.659038901601831,"NDUFS1/SNCAIP/MAOB/TUBB1/SLC39A14/MAPK8/MAPK10/GNAI2/NFE2L2/MFN2/DUSP1/ITPR2/KLC1/GNAI1/COX4I2/TUBB2A/TUBB2B/UQCRC2/GNAL/RPS27A/SNCA/CAMK2D/CAMK2G/DRD2/UBC/ITPR1/SLC25A4/ATP5F1A/PINK1/COX7A1/NDUFS4/TUBA1A/ADCY5/TUBB6/DRD1/PRKN/COX8C/LRRK2/MAOA/MAP3K5/CALM1/ND6/CYTB/ND2/ND5/COX1/RYR3/ND3/ND4/ND1/ATP6/COX3/SDHD/ND4L/ATP8",55,55,271
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","39/2394","204/8545",0.191176470588235,0.682373826723672,-2.86445586282115,0.998847333317648,1,0.659038901601831,"MAP3K14/VIM/FAS/MAP2K3/TAB2/NEDD4/MAVS/GADD45B/NFKBIA/CD40/FCER2/CDK6/MAPK8/MAP2K6/MAPK10/MAPK14/CCND3/GADD45A/AKT3/CCND2/IFNA8/PIK3CA/POLK/CDKN1A/DDB2/IL6/MYC/RIPK1/RB1/IFNAR1/PIK3R1/JAK1/SAP30L/RBPJ/TRAF6/JUN/MAPK11/PLCG2/HLA-E",39,39,204
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","22/2394","133/8545",0.165413533834586,0.590417145620945,-2.96987237109284,0.999362225617169,1,0.659038901601831,"IDS/ATP6V0A1/CTNS/CLTCL1/WDR7/CTSG/AP4S1/LGMN/CLN5/LIPA/NCOA7/HYAL1/CD68/SORT1/GNS/NPC1/AP3S2/MFSD8/DMXL1/CTSF/IGF2R/CTSO",22,22,133
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","63/2394","311/8545",0.202572347266881,0.723049585378237,-3.10382060718867,0.999448602116817,1,0.659038901601831,"DNAH9/NDUFS1/ATG2B/CLTCL1/PIK3C3/SLC1A3/POLR2E/EP300/TUBB1/DCTN6/NRF1/MAPK8/MAPK10/PPARGC1A/IFT57/DNAH1/ACTR1B/DNAH6/CREB1/GRIA3/KLC1/ATG14/COX4I2/ACTR10/PPARG/TUBB2A/TUBB2B/UQCRC2/TAF4B/CREB5/NRBF2/ITPR1/SLC25A4/ATP5F1A/GRIA4/GNAQ/COX7A1/NDUFS4/TUBA1A/HAP1/TUBB6/GPX2/CREB3L2/PLCB1/SP1/COX8C/PIK3R4/MAP3K5/ND6/CYTB/ND2/ND5/COX1/ND3/ND4/ND1/ATP6/COX3/SDHD/GPX3/ND4L/ATP8/GRIN2B",63,63,311
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","76/2394","371/8545",0.204851752021563,0.7311855559834,-3.30249423478456,0.999728610887549,1,0.659038901601831,"ALS2/DNAH9/NDUFS1/TNFRSF1B/MAP2K3/ATG2B/TNFRSF1A/PIK3C3/NOS1/TUBB1/DCTN6/SETX/PPP3CB/MAP2K6/MAPK14/DNAH1/ACTR1B/DNAH6/PPP3CC/CAT/ANXA11/OPTN/KLC1/ATG14/COX4I2/ACTR10/TANK/TUBB2A/TUBB2B/CASP1/NUP54/PPP3CA/HNRNPA1L2/UQCRC2/MAP1LC3B/C9orf72/NRBF2/ATP5F1A/RANBP2/NRG1/NRG2/PINK1/COX7A1/NDUFS4/TUBA1A/HAP1/TUBB6/GPX2/GRIN2A/PRKN/MAPK11/NRG3/COX8C/PPP3R2/PIK3R4/MAP3K5/MAP1LC3C/ND6/CYTB/ND2/ND5/COX1/ND3/ND4/ND1/ATP6/COX3/SDHD/CASP12/GPX3/ND4L/ANG/ATP8/CHCHD10/MAP1LC3B2/GRIN2B",76,76,371
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","2/2394","36/8545",0.0555555555555556,0.198296667594913,-3.00708363209718,0.999893673260687,1,0.659038901601831,"RFC1/RNASEH1",2,2,36
"hsa03410","Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","3/2394","44/8545",0.0681818181818182,0.243364092048303,-3.13904908982448,0.999918158488687,1,0.659038901601831,"RFC1/PARP3/PARP4",3,3,44
"hsa00970","Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","6/2394","66/8545",0.0909090909090909,0.324485456064403,-3.43679939626634,0.999964369324163,1,0.659038901601831,"GATB/MTFMT/SEPSECS/DARS1/QARS1/TARS3",6,6,66
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","31/2394","193/8545",0.160621761658031,0.573313681440215,-3.74034755320478,0.999971847186652,1,0.659038901601831,"MPO/HDAC7/HDAC4/CLCN4/MAPK1/NCF4/CTSG/C5/HDAC5/VWF/MAPK14/AKT3/PIK3CA/C3/RAF1/TLR4/CASP1/PIK3R1/SLC25A4/PRKCA/PADI4/MAP2K1/SELP/PLCB1/MAPK11/CASP4/ELANE/PLCG2/CR1/ITGB3/H2BK1",31,31,193
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","25/2394","171/8545",0.146198830409357,0.521833335776087,-3.94031282229287,0.999990770820023,1,0.659038901601831,"SEC62/HERPUD1/ATXN3/SEC31B/UBE2D4/SAR1A/PPP1R15A/SEC23A/SEL1L2/MAPK8/MAPK10/CRYAB/MAN1A1/NFE2L2/UBE4B/SEC24B/RNF185/MBTPS1/DNAJC5G/HSPA4L/UBXN2A/PRKN/MAP3K5/MAN1A2/CASP12",25,25,171
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","7/2394","81/8545",0.0864197530864197,0.30846148292542,-3.90113415827217,0.999996476537734,1,0.659038901601831,"LGMN/CREB1/NFYB/RFXAP/KLRC1/HLA-E/CD8B2",7,7,81
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","11/2394","108/8545",0.101851851851852,0.363543890590674,-4.15246654557915,0.999998607261557,1,0.659038901601831,"IPO5/IPO11/KPNA3/XPO7/SRRM1/IPO8/NUP54/RANBP2/EEF1A1/DDX19B/KPNA5",11,11,108
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","14/2394","141/8545",0.099290780141844,0.354402554850483,-4.82223273530389,0.999999970058655,1,0.659038901601831,"C6/ACTN1/CTSG/CD40/C5/C7/C3/IL10/C1R/C1S/GRIN2A/ELANE/GRIN2B/H2BK1",14,14,141
"hsa03040","Genetic Information Processing","Transcription","hsa03040","Spliceosome","18/2394","217/8545",0.0829493087557604,0.296074287100239,-6.5524869908176,0.999999999999937,1,0.659038901601831,"SF3A1/SRSF5/DDX5/SYF2/PRPF38A/HNRNPA1L2/DHX38/LSM6/SLU7/CDC40/PLRG1/PRPF8/LOC124900516/RNU6-8/RNVU1-1/SRSF8/RNVU1-4/LOC124900887",18,18,217
"hsa03008","Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","10/2394","168/8545",0.0595238095238095,0.212460715280264,-6.43135436016859,0.999999999999962,1,0.659038901601831,"CSNK2A2/MDN1/XRN1/FCF1/RCL1/SBDS/WDR36/UTP4/NOB1/LOC124900922",10,10,168
"hsa04740","Organismal Systems","Sensory system","hsa04740","Olfactory transduction","57/2394","453/8545",0.125827814569536,0.449122253758015,-7.51616355373522,1,1,0.659038901601831,"ANO2/GRK3/SLC8A3/NCALD/PDE1A/RGS2/PDE1B/OR7C1/ARRB1/ADCY3/PRKG2/SLC24A4/GNAL/CAMK2D/CAMK2G/PDE1C/OR2C1/OR5AU1/OR10A3/OR2M4/OR1L8/OR11H4/GNG7/OR2AJ1/OR2B11/OR1E1/OR3A1/OR2A4/OR51E1/OR52N1/OR56B2P/OR52N4/OR5P3/SLC8A1/OR5P2/PRKG1/PDE2A/OR7A5/OR2L13/OR2C3/OR2T4/OR2T6/OR2L3/CALM1/OR2L2/OR2A42/OR2F1/OR6B1/OR2A5/OR2A12/OR3A2/OR2A25/OR2A1/OR5K2/OR2A7/OR11H7/OR10A6",57,57,453
