"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"hsa03450","Genetic Information Processing","Replication and repair","hsa03450","Non-homologous end-joining","3/2394","13/8545",0.230769230769231,0.82369385000964,-0.396856542092315,0.75115025600743,0.992899763687983,0.654359569661645,"MRE11/LIG4/NHEJ1",3,3,13
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","18/2394","72/8545",0.25,0.892335004177109,-0.572324058171904,0.756166316240367,0.99571518741575,0.656215043422737,"CASP10/MAVS/NFKBIA/RNF125/MAPK8/MAPK10/MAPK14/IFNA8/TRIM25/TANK/RIPK1/NLRX1/AZI2/TRAF6/IFNE/MAPK11/TBKBP1/DDX3X",18,18,72
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","41/2394","159/8545",0.257861635220126,0.920395853365069,-0.63208670184212,0.762703259266799,1,0.659038901601831,"MPO/MARCO/ATP6V0A1/VAMP3/FCGR2B/SCARB1/PIK3C3/STX7/NOS1/CD209/NCF4/TUBB1/EEA1/CLEC4M/PIKFYVE/STX12/COLEC11/SFTPA1/C3/CD36/DYNC1LI2/TLR4/TUBB2A/TUBB2B/ITGB1/PLA2R1/COLEC12/DYNC1I1/C1R/ITGA2/TUBA1A/RILP/CD14/TUBB6/DYNC2H1/DYNC1H1/HLA-E/ATP6V1E2/ITGB3/MRC1/RAB7B",41,41,159
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","47/2394","182/8545",0.258241758241758,0.921752641677454,-0.665647276444409,0.771509191353054,1,0.659038901601831,"CASP10/IFNGR1/ATP6V0A1/TNFRSF1A/FCGR2B/PIK3C3/CD209/JAK2/MAPK1/EP300/EEA1/CLEC4M/MAPK8/PPP3CB/MAPK10/MAPK14/AKT3/CREB1/IFNA8/NFYB/PPP3CC/IL1B/C3/RAF1/RFXAP/IRAK2/IL6/IL10/TLR4/PPP3CA/KSR1/CAMK2D/CAMK2G/PLA2R1/JAK1/CD14/MALT1/PLK3/TLR1/TRAF6/MAPK11/PPP3R2/ARHGEF12/CALM1/CR1/TLR9/MRC1",47,47,182
"hsa00053","Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","7/2394","30/8545",0.233333333333333,0.832846003898636,-0.572143402250918,0.777193347475359,1,0.659038901601831,"ALDH3A2/ALDH2/RGN/KL/UGT2B28/ALDH9A1/ALDH7A1",7,7,30
"hsa01523","Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","7/2394","30/8545",0.233333333333333,0.832846003898636,-0.572143402250918,0.777193347475359,1,0.659038901601831,"FOLR1/ABCG2/IL1B/IL6/FOLR2/SHMT1/DHFR2",7,7,30
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","36/2394","142/8545",0.253521126760563,0.904903102827491,-0.712874642447545,0.788826314691184,1,0.659038901601831,"KLHL13/PIAS1/ERCC8/NEDD4L/ANAPC4/NEDD4/FBXW11/UBE2D4/MID1/HERC1/SMURF2/FBXW7/BIRC2/UBE4A/CBL/CBLB/UBE2B/UBA2/HERC2/UBE4B/DDB2/HERC3/PML/DET1/RPS27A/UBC/TRIP12/RCHY1/CUL5/ANAPC16/UBE2E3/TRAF6/UBE2E2/SOCS3/PRKN/KLHL9",36,36,142
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","35/2394","139/8545",0.251798561151079,0.898754680466153,-0.750771005577722,0.800138924060623,1,0.659038901601831,"IGF1/ANAPC4/SLK/PPP2R5A/PPP2R5B/RPS6KA2/FBXW11/PPP2R5C/MAPK1/PPP2CB/PPP3CB/CPEB3/MAPK14/PPP3CC/ITPR2/ADCY4/PPP2R1B/ADCY3/PPP3CA/PLCZ1/CAMK2D/CAMK2G/ITPR1/ANAPC16/MAP2K1/YWHAG/ADCY5/ADCY6/RPS6KA3/MAPK11/PPP3R2/CALM1/SPDYE18/PPP1CB/CPEB1",35,35,139
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","35/2394","139/8545",0.251798561151079,0.898754680466153,-0.750771005577722,0.800138924060623,1,0.659038901601831,"FAS/TAB2/CSNK2A2/FCGR2B/MAVS/CD209/NFKBIA/CLEC4M/CDK6/MAPK8/MAPK10/IL2/CCND3/CBLB/AKT3/CCND2/IFNA8/PIK3CA/RAB9B/RAB9A/IL1B/STAT5A/IL6/TLR4/IFNAR1/PIK3R1/MSN/JAK1/RCHY1/FOS/STAT5B/TRAF6/JUN/RACK1/TLR9",35,35,139
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","19/2394","78/8545",0.243589743589744,0.869454619454619,-0.722543268604387,0.800662149513669,1,0.659038901601831,"CNOT4/DIS3/DDX6/XRN1/BTG1/PAN2/CNOT6L/PAN3/BTG2/LSM6/DIS3L/EXOSC10/PABPC5/TOB2/NUDT16/SKIC3/EXOSC6/PABPC4L/DCP1A",19,19,78
"hsa00514","Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","11/2394","47/8545",0.234042553191489,0.835377450718996,-0.705991898947853,0.805888766923699,1,0.659038901601831,"MFNG/GALNT16/GALNT12/GALNT8/GALNT15/OGT/EOGT/GALNT11/GALNT17/COLGALT2/C1GALT1C1L",11,11,47
"hsa04742","Organismal Systems","Sensory system","hsa04742","Taste transduction","21/2394","86/8545",0.244186046511628,0.871583027335781,-0.746675617929826,0.805933165905806,1,0.659038901601831,"GABRA4/PDE1A/TAS2R10/PDE1B/TAS2R4/TAS2R5/ADCY4/SCN2A/CACNA1C/GABRA2/SCN3A/PDE1C/SCN9A/P2RY1/TAS1R1/ADCY6/HTR3C/HTR1F/PLCB1/GABBR1/PKD1L3",21,21,86
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","48/2394","189/8545",0.253968253968254,0.90649905186246,-0.810900429815645,0.813408850269958,1,0.659038901601831,"GABARAPL2/TAB2/PKN2/CXCL2/MAVS/NLRP1/TRPM7/MAPK1/NFKBIA/CARD8/NAMPT/NOD1/MAPK8/CCL2/MAPK10/BIRC2/MAPK14/MFN2/IFNA8/ITPR2/IL1B/CARD6/IL6/TANK/TLR4/RIPK1/CASP1/GABARAPL1/MAP1LC3B/IFNAR1/ITPR1/NEK7/NLRX1/JAK1/GBP2/NLRP3/ANTXR2/IFI16/CXCL3/TRAF6/JUN/PLCB1/MAPK11/CASP4/MAP1LC3C/CASP12/MAP1LC3B2/TXNIP",48,48,189
"hsa00515","Metabolism","Glycan biosynthesis and metabolism","hsa00515","Mannose type O-glycan biosynthesis","5/2394","23/8545",0.217391304347826,0.775943481893139,-0.67122877351291,0.815138595627233,1,0.659038901601831,"B3GAT1/B3GAT2/B4GAT1/FUT4/CRPPA",5,5,23
"hsa00531","Metabolism","Glycan biosynthesis and metabolism","hsa00531","Glycosaminoglycan degradation","4/2394","19/8545",0.210526315789474,0.751440003517566,-0.676636154790471,0.823073247760855,1,0.659038901601831,"IDS/HYAL1/GNS/HPSE2",4,4,19
"hsa04973","Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","12/2394","52/8545",0.230769230769231,0.82369385000964,-0.795533368853646,0.828570684528186,1,0.659038901601831,"ATP1A2/SLC5A1/AKT3/PIK3CA/ATP1B2/G6PC1/FXYD2/PIK3R1/G6PC2/PLCB1/AMY2B/MGAM2",12,12,52
"hsa00040","Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","8/2394","36/8545",0.222222222222222,0.793186670379653,-0.775729566366113,0.831491570819872,1,0.659038901601831,"AKR1B1/KL/UGT2B28/CRYL1/UGP2/FGGY/CRPPA/AKR1B15",8,8,36
"hsa04215","Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","7/2394","32/8545",0.21875,0.780793128654971,-0.775010640915082,0.834269221037815,1,0.659038901601831,"NGFR/TNFRSF1A/MAPK8/SEPTIN4/MAPK10/BIRC2/BOK",7,7,32
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","126/2394","483/8545",0.260869565217391,0.931132178271766,-0.972049417631242,0.847242206727736,1,0.659038901601831,"ALS2/DNAH9/NDUFS1/FAS/TNFRSF1B/MAP2K3/WNT8A/SNCAIP/ATXN3/ATG2B/TNFRSF1A/LRP6/CSNK2A2/PTGS2/PIK3C3/WNT11/NOS1/MAPK1/TUBB1/DKK4/DCTN6/MAPK8/PPP3CB/MAP2K6/MAPK10/WNT5B/MAPK14/IFT57/DNAH1/ACTR1B/DNAH6/MFN2/PPP3CC/CAT/ITPR2/OPTN/WNT1/IL1B/GRIA3/KLC1/ATG14/COX4I2/ACTR10/RAF1/WNT2B/APC/IL6/TANK/TUBB2A/TUBB2B/PPP3CA/UQCRC2/MAP1LC3B/APP/RPS27A/SNCA/CAMK2D/C9orf72/NRBF2/CAMK2G/UBC/ITPR1/CACNA1C/SLC25A4/ATP5F1A/GRIA4/PRKCA/DKK2/FZD7/GNAQ/FZD1/BRAF/PINK1/WNT9B/COX7A1/LRP5/FZD5/NDUFS4/ZFYVE1/CHRFAM7A/TUBA1A/CTNNB1/CHRM1/AXIN2/MAP2K1/WNT10B/PRNP/HAP1/FZD4/CHRNA7/TUBB6/GPX2/CSNK1A1L/PLCB1/GRIN2A/CSF1/PRKN/MAPK11/COX8C/PPP3R2/LRRK2/RYR1/PIK3R4/MAP3K5/MAP1LC3C/CALM1/ND6/CYTB/ND2/ND5/COX1/RYR3/ND3/ND4/ND1/ATP6/COX3/SDHD/CASP12/GPX3/ND4L/ATXN1L/ATP8/MAP1LC3B2/GRIN2B/PSEN2",126,126,483
"hsa01250","Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","8/2394","37/8545",0.216216216216216,0.771749192801824,-0.867999095970189,0.854439363547348,1,0.659038901601831,"PGM1/TGDS/PMM1/GCK/GFPT2/GNE/UGP2/GALT",8,8,37
"hsa00603","Metabolism","Glycan biosynthesis and metabolism","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","3/2394","16/8545",0.1875,0.669251253132832,-0.826093054736468,0.868211720483016,1,0.659038901601831,"ST8SIA1/ST3GAL2/ABO",3,3,16
"hsa00520","Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","8/2394","38/8545",0.210526315789474,0.751440003517566,-0.957976036305419,0.874804495665635,1,0.659038901601831,"PGM1/PMM1/GCK/GFPT2/GNE/GNPDA2/UGP2/GALT",8,8,38
