"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"GO:0071333","GO:0071333","cellular response to glucose stimulus","64/8420","148/18986",0.432432432432432,0.975078641586955,-0.271700986880808,0.637537002748318,1,0.898157688661748,"BAD/ABCC8/PAX6/BAIAP3/CASR/PTPRN/TRPM5/SRI/PAX2/CPB2/OPRK1/DYNLL1/ICAM1/TREM2/SMARCB1/XBP1/HIF1A/PCK2/CDK16/STX4/PIH1D1/TGFB1/FGF21/USF2/TWNK/COL1A1/SLC12A7/GPR68/ENY2/GJB6/SOX4/FOXA2/SMARCA4/TRPM4/LIN28A/TRA2B/GATA4/PDX1/IGF1R/RPTOR/MPC2/ABCA12/PTPRN2/TIAM1/GHRL/NCF1/USF1/PRKAA2/NEUROD1/NKX6-1/STXBP4/GPR27/JAGN1/C2CD2L/RBM4/BRSK2/UCP2/TH/C1QTNF12/KCNJ11/HLA-DRB1/PIM3/SELENOT/MIR320C1",64,64,148
"GO:0007548","GO:0007548","sex differentiation","127/8420","292/18986",0.434931506849315,0.98071372791462,-0.296479479300149,0.638277752328279,1,0.898157688661748,"FKBP4/HOXA11/ERCC1/BAK1/KITLG/ARID4B/PTPRN/ASPM/PGR/BAX/ESR1/MSH2/PATZ1/DMC1/BIK/SIX4/REC8/HNF4A/CENPI/ADAM2/AMH/RETN/TFPT/LFNG/CASP2/NUDT1/GATA3/NUP107/VEGFA/WNT5A/EIF2B4/SDC1/DHCR24/EIF2B2/TEX11/RDH10/KIF18A/INHBA/PRDX4/TNFAIP6/INHA/MEA1/EIF2S2/VGF/HOXD13/DNAAF11/SAFB2/TAF4/RARA/NASP/TBX3/CGA/AMHR2/BRIP1/GATA4/NR5A1/DMRT1/FOXF2/STRA6/CYP1B1/BMPR1B/BRCA2/ADAM21/GREB1L/DMRTC2/SOD1/DMRTA2/LHX9/ADAM15/RAB13/REN/CNOT9/EIF2B5/SFRP2/SRD5A1/LSM14B/DHX37/GFRA1/GJA1/BCL2L11/WNT7A/MMP14/SPATA2/WNT4/LHX8/H3-3A/HESX1/HMGB2/CASP3/GDF9/SHH/SGPL1/CCDC182/NKX3-1/RRM1/ING2/ADAM18/ROR2/AR/UBB/CHD7/BCL2L1/CBX2/BASP1/IRX5/UMODL1/NHLH2/ZFP42/TEX19/FOXL2/WT1/ROBO2/PBX1/HYAL3/FANCA/ZP3/SYCP2/SRC/CD2AP/ADGRG1/DNAJC19/FANCG/TIFAB/SCX/LHX1/DACH1/SRD5A2",127,127,292
"GO:0007187","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","24/8420","56/18986",0.428571428571429,0.966372582287072,-0.224966715901534,0.638609435930325,1,0.898157688661748,"DRD4/HRH3/OPRM1/OPRD1/NPY/GALR3/MTNR1B/AGT/HTR2C/HTR6/PTGIR/SSTR5/NPY1R/HTR1E/LPAR3/MC5R/HTR1A/HTR1D/SSTR2/CHRM4/MC2R/CNR2/MC1R/SSTR3",24,24,56
"GO:0048260","GO:0048260","positive regulation of receptor-mediated endocytosis","24/8420","56/18986",0.428571428571429,0.966372582287072,-0.224966715901534,0.638609435930325,1,0.898157688661748,"DTNBP1/DGKD/PICK1/FMR1/HAMP/WASL/SERPINE1/VTN/APOA5/VEGFA/SGIP1/H1-1/PPT1/ARRB2/WNT3A/LDLRAP1/AP2M1/SYK/HNRNPK/B2M/GREM1/PCSK9/CCL19/AP2A1",24,24,56
"GO:0007259","GO:0007259","cell surface receptor signaling pathway via JAK-STAT","57/8420","132/18986",0.431818181818182,0.973693586698337,-0.270740294261363,0.638928459868856,1,0.898157688661748,"FGFR3/BCL3/CAMK2A/PTPRC/OSM/PTK6/PIGU/ARL2BP/DOT1L/TYK2/JAK3/HAMP/OCIAD1/IL23A/IL26/IFNG/IL12B/PRLR/HES1/CISH/STAT1/FLT3/NMI/STAMBP/EPHB2/VHL/ELP2/CYP1B1/PARP9/IL21/OCIAD2/IL9/IL18/PTPRD/ADIPOR1/USP1/IL20/NEUROD1/IL31RA/STAT2/IFNB1/PARP14/DAB1/MST1/CLCF1/CRLF3/F2/F2R/IFNL1/IFNL2/SOCS1/HGS/TNFRSF18/IFNL3/CSH2/TNF/IFNL4",57,57,132
"GO:0050878","GO:0050878","regulation of body fluid levels","166/8420","381/18986",0.435695538057743,0.982436518475571,-0.309146477349099,0.640402304110729,1,0.898157688661748,"TBXA2R/CD9/PLAUR/WAS/DTNBP1/CYBA/ENTPD2/F7/ATG5/DGKA/SCT/LMAN1/ACTB/DGKD/FAP/CPB2/OPRK1/CAD/GNAS/GP6/APOH/UPRT/ITPR3/XBP1/HIF1A/HNF4A/GLA/GPI/COMP/USF2/GHRHR/HSPB1/SERPINE1/AGR2/NEURL1/SLC6A4/VTN/WFS1/HGFAC/ST3GAL4/CCND1/SCNN1A/OAS2/VDR/PTPN6/SLC22A2/VEGFA/PRLR/KNG1/HRG/UMPS/PROC/PLEK/SERPINC1/VAMP8/NKX2-3/GNA13/PLG/COPA/PLAU/ATP7B/NFE2/OPRL1/MED1/FOXA2/PROZ/PRRG2/WNK4/F2RL3/ADORA2A/TPH1/APOE/F12/AP3B1/EPHB2/VAV3/PRRG4/LACRT/SERPINE2/THBS1/EMILIN1/PRICKLE1/TMX1/VAV1/SLC6A3/PRKACB/CELSR2/F13B/DGKQ/DGKZ/PTPRJ/FERMT3/SLC7A11/PTPRO/GJA1/UBASH3B/WNT3A/PAFAH2/GPAT4/F11R/USF1/FCER1G/SCUBE1/VAV2/ADAMTS13/ZBTB7B/ZNF385A/PRKCD/F2RL2/SHH/FZD6/SYK/AQP3/HPS6/SCNN1G/PDIA3/MYO5B/VKORC1/KRT1/PRDX2/COL3A1/UMOD/CEL/C1GALT1C1/FGG/FGB/CYP4F11/FOXB1/FIBP/HPSE/MTX1/NLRP6/P2RY2/HSD11B2/GP5/ALOX12B/F2/F2R/RAP2B/LCK/ACTG1/VPS33B/GP1BA/PDIA2/CYP4F2/BLOC1S4/BLOC1S3/PPIA/NCOR2/ADA/SRC/SERPINA1/SERPINB2/BPIFA1/STK39/F5/MUC2/MPIG6B/DDR1/MFSD2B/CLIC1/EMP2/MTCO2P12/PRSS56/NME1/TIFAB",166,166,381
"GO:0071709","GO:0071709","membrane assembly","27/8420","63/18986",0.428571428571429,0.966372582287072,-0.238657365380365,0.640982956943819,1,0.898157688661748,"SPAST/LRCH4/CHMP5/NSFL1C/CHMP4B/UBE2I/STX4/CHMP2A/CHMP1A/EPHB2/FLOT1/COL6A1/UGCG/PTPRD/TLCD1/DMKN/BROX/CHMP4C/REEP4/CDH2/HDAC3/BANF1/CHMP6/ANKLE2/RCC1/EMP2/UBXN2B",27,27,63
"GO:0097352","GO:0097352","autophagosome maturation","27/8420","63/18986",0.428571428571429,0.966372582287072,-0.238657365380365,0.640982956943819,1,0.898157688661748,"LAMP2/CLEC16A/PHF23/ATG5/VMP1/TSG101/CHMP5/SNAP29/TOM1/CHMP4B/MAP1LC3A/VAMP8/CHMP2A/CHMP1A/UBQLN1/SNX14/VPS33A/SNAPIN/RUBCN/LIX1/UBQLN4/CHMP4C/VCP/ATP2A2/CHMP6/CLN3/VPS16",27,27,63
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity","50/8420","116/18986",0.431034482758621,0.971926447702514,-0.270736280182212,0.641027419419286,1,0.898157688661748,"BTK/TYROBP/STAP1/FERRY3/SPHK2/CD84/SPI1/WDR1/STXBP2/LAT2/UNC13D/PLA2G3/CHGA/FOXF1/STX4/RIGI/CLNK/TUSC2/SNX4/VAMP8/TREM1/TICAM1/RAC2/PDPK1/FCGR2A/CPLX2/FCGR1A/RABGEF1/SPON2/ITGB2/SYK/DDX21/CD300A/LGALS9/ITGAM/JAGN1/AZU1/RASGRP1/MYD88/NLRP6/GATA2/F2/CARD9/S100A13/FCGR3A/CD177/IGHE/IGHG1/LAT/DNASE1",50,50,116
"GO:0050886","GO:0050886","endocrine process","40/8420","93/18986",0.43010752688172,0.969836283298853,-0.260304639361038,0.641039447276071,1,0.898157688661748,"NOX1/GAL/TACR2/C1QTNF3/OPRK1/RAB11FIP3/COMT/TSPO/CTSZ/RETN/GATA3/GNRHR/KDM5B/SPP1/CRHR1/INHBA/INHA/WNK4/EDN2/TBX3/CGA/AGT/NIBAN2/REN/CORIN/GJA1/RAB11FIP1/GHRL/UCN/GDF9/NKX3-1/OR51E2/KISS1/HSD11B2/F2R/ATP6AP2/FOXL2/AVPR1B/SELENOM/FOXD1",40,40,93
