,cluster,acc,mean nUMI,declining R^2
0,0,0.660120487871564,3196.5840837186665,0.9632662332080761
1,1,0.6696759078875077,2902.4081882814417,0.9741480077880487
2,2,0.5836129060740851,3746.7142356241234,0.9679466759815747
3,3,0.6325489946168101,3412.6711128048782,0.9527119433742886
4,4,0.6536291813777488,3689.6851704996034,0.9629899374486741
5,5,0.6960704740006007,4669.46226821906,0.9452432751042773
6,6,0.6243271706792053,2402.16251298027,0.9467858149088316
7,7,0.11739715778114768,3568.008605851979,0.6099141394608283
8,8,0.685006477575932,2651.688185140073,0.7750724274854669
9,9,0.630097804037338,3434.347572815534,0.9421373060764898
10,10,0.7453772635065803,1793.6715893108299,0.9149741664113975
11,11,0.4950228041301733,2991.5985714285716,0.8283206891158021
12,12,0.6041696222903745,3559.2328178694156,0.9728399295085103
13,13,0.69331264251778,3312.7383177570096,0.934148333302523
14,14,0.6335210671456634,2148.9925163704397,0.8979147676287007
15,15,0.6541676410908387,3364.5925572519086,0.9335253766026671
16,16,0.6271478422627185,3517.1206896551726,0.9237818199255299
17,17,0.4975742059445941,2648.744655581948,0.8770799100643223
18,18,0.5691616187890018,2630.0794871794874,0.9284071410012057
19,19,0.6233286382420393,2585.3574297188757,0.9557128534384021
20,20,0.7007997657714652,2506.273097826087,0.9579161654782307
21,21,0.3984291071716273,3095.427012278308,0.8844842387352295
22,22,0.6727975286813497,2469.1627906976746,0.9390892642139799
23,23,0.3893705301824631,6723.68281938326,0.1705873012990763
24,24,0.46199220970938615,2486.132716049383,0.7475303570639875
25,25,0.30992715117303976,5175.760683760684,0.947421631114454
26,26,0.7627482181255065,2879.5551601423485,0.9539908111189607
27,27,0.6480429809276407,6181.537753222836,0.8148637289446319
28,28,0.5401920302334652,2717.785714285714,0.9238231381433839
29,29,0.560958700624451,2936.7868217054265,0.8571090786206276
30,30,0.5406718929481154,3866.194552529183,0.8324865561529196
31,31,0.5622148423935387,2189.887573964497,0.8886399412258926
32,32,0.7704715123474669,15349.180914512923,0.08724950417846633
33,33,0.5353362674055223,2034.0615711252653,0.9289387936389502
34,34,0.40016979157108545,3945.4454148471614,0.7854619801102325
35,35,0.5057944002789871,3726.68,0.803130885628196
36,36,0.37859922277942015,4115.692482915718,0.8562080273189221
37,37,0.40727512930567905,3079.416091954023,0.7878005545886642
38,38,0.25287500002429475,3759.4923469387754,0.7329991894112469
39,39,0.7684999759564631,4269.691099476439,0.9597792054487994
40,40,0.2792232399002256,2405.7733333333335,0.0637565838877645
41,41,0.5920633174183294,1969.2222222222222,0.9609033806337628
42,42,0.3754626071584495,3715.8962536023055,0.9635950136001723
43,43,0.4994287924369534,4599.820359281437,0.7300736463256154
44,44,0.5049493571675114,4599.738601823708,0.8478949454622312
45,45,0.6734449899768034,2691.163076923077,0.9045923918847528
46,46,0.3425744249316984,9434.61846153846,0.10652216160085959
47,47,0.342247047041857,3143.55,0.4647507605014932
48,48,0.5985479706845771,3650.5,0.9149666943953552
49,49,0.38315256597290875,2082.9222972972975,0.8180843313981696
50,50,0.623427023570672,3245.562937062937,0.7040000540499696
51,51,0.6221305355787992,2072.225,0.9389662946545312
52,52,0.09785874991210775,2208.86690647482,0.8830838571756752
53,53,0.49955801930164834,3553.2707581227437,0.4485363472573386
54,54,0.30126140528972867,3649.9927536231885,0.9515402028153184
55,55,0.515682408810901,3165.981549815498,0.876661792743534
56,56,0.5922128152186872,2950.143396226415,0.8202410151555999
57,57,-0.5299608106207229,2850.942084942085,0.7205725011655115
58,58,0.5966402615512026,2907.670731707317,0.9381293448820831
59,59,0.30418583651491343,3303.711382113821,0.8913011414228792
60,60,0.6081554706228335,2862.071129707113,0.9545338304710411
61,61,0.20797801771023727,4318.836206896552,0.7927173628106841
62,62,0.44402296237280947,3320.413043478261,0.9198963186980194
63,63,0.22263421951010706,2045.480349344978,0.9607938728146183
64,64,0.5261164319210228,4628.275555555556,0.8590597963452662
65,65,0.7105930978976123,2572.3972602739727,0.9572249907384178
66,66,0.32039491190323355,3503.4174311926604,0.8990947832149114
67,67,0.5522681227772203,2565.412037037037,0.6512556043030922
68,68,0.2660362628378176,2978.106976744186,0.6114310228710447
69,69,0.5479179762084472,3443.839024390244,0.8700140326729087
70,70,0.5105374933627228,3775.305,0.5898981906813361
71,71,0.4363582303048689,3132.419689119171,0.8674098325527013
72,72,0.1274500840034915,3161.421965317919,0.9363890840707406
73,73,0.6699198788954244,5005.264516129032,0.8694119664487885
74,74,0.37856036929593984,4294.561151079137,0.6697597560800517
75,75,-0.03925140415317383,3355.9057971014495,0.7454838755023364
76,76,0.13952089573301116,2691.641221374046,0.7830738683337298
77,77,0.21440475361572986,2087.149606299213,0.9854561314303074
78,78,0.5562431117893893,5392.951612903225,0.8812625748135563
79,79,0.3063766356621322,3380.102564102564,0.8026268929708443
80,80,0.4153858165870988,5457.555555555556,0.8103737453899388
81,81,0.7917371304299946,4444.473684210527,0.28909286403378853
82,82,0.35896505968781367,2795.9418604651164,0.754869477386851
83,83,0.21920969106505145,3424.095238095238,0.10910154893040236
84,84,0.43292734459723564,3787.4246575342468,0.6242251517378523
85,85,-0.13624882312164488,7267.152542372882,0.7216877246709474
86,86,-3.2205039985218393,6144.206896551724,0.3397234537518202
87,87,0.0,3431.8435204386487,0.0
