	DGRP-551_1d_WholeBrain_Unstranded_RNA-seq	DGRP-551_1d_WholeBrain_Stranded_RNA-seq	w1118_1d_WholeBrain_Unstranded_RNA-seq	w1118_1d_WholeBrain_Stranded_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep1_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep2_RNA-seq
CG32816	6.99520392030909	7.631686719070641	15.060403043695485	28.77267472235909	9.539634657774593	28.56353534286678
CG13375	922.9987488534152	1208.3503971861846	865.9731750124904	1102.4477472567062	1150.055955965048	1110.9535040413832
CG3038	2.945349019077512	2.543895573023547	1.8825503804619357	4.5430539035303825	1.0599594064193991	2.3522911458831466
Appl	17500.89570273119	14459.50243706584	16506.201735890252	13598.87468456761	17273.09848701053	19775.375621847343
CG13369	175.98460388988133	157.7215255274599	128.01342587141164	127.2055092988507	142.0345604601995	128.03184665449697
CG17829	144.32210193479807	111.93140521303606	137.42617777372132	95.40413197413802	190.79269315549186	159.95579792005395
l(1)1Bi	103.08721566771291	96.66803177489477	90.36241826217291	92.37542937178443	94.33638717132654	40.661032664551534
su(sable)	672.6440822318268	630.8861021098396	414.16108370162584	464.9058494612758	391.1250209687583	168.6928793190485
CG13367	122.23198429171674	78.86076276372995	97.89261978402065	77.2319163600165	69.95732082368035	119.29476525550243
Roc1a	344.6058352320689	414.65497840283814	310.6208127762194	354.3582044753698	228.95123178659023	575.3032059645639
CG5254	124.07282742864018	147.5459432353657	199.55034032896518	243.81055948946386	92.21646835848773	149.87455015198333
CG5273	3487.293238587774	2381.0862563500395	4224.443053756584	3080.1905465935993	3644.1404392698946	2571.390264042548
fz3	29.821658818159808	25.438955730235467	11.295302282771614	19.68656691529832	41.338416850356566	31.587909673287967
CG16989	94.25116861048038	73.77297161768286	169.42953424157423	145.37772491297224	108.11585945477871	47.04582291766293
CG14635	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
CG13358	0.736337254769378	2.543895573023547	1.8825503804619357	0.0	2.1199188128387982	3.0243743304211885
CG13359	0.0	0.0	0.0	0.0	0.0	1.3441663690760837
Rbf	438.48883521516456	358.6892757963201	391.5704791360826	337.7003401624251	468.50205763737443	225.14786682024402
CG13360	183.3479764375751	137.37036094327152	365.2147738096155	399.78874351067367	31.798782192581978	25.20311942017657
RpL22	3096.666324932619	1650.9882268922818	2599.8020754179333	1694.5591060168326	1335.548852088443	809.5241957760715
CG13361	0.736337254769378	0.0	0.0	6.057405204707177	3.179878219258198	0.3360415922690209
CG13362	1.104505882154067	2.543895573023547	0.0	0.0	1.0599594064193991	0.3360415922690209
Hmt4-20	2054.3809408065645	1699.322242779729	1705.5906446985139	1411.3754126967722	910.5051301142639	1076.0051784454051
RpL36	2532.263819151891	3538.5587420757533	2592.2718738960857	2875.753120934732	1574.039718532808	2229.299923112685
CG13364	110.81875684279139	152.6337343814128	133.66107701279745	163.54994052709375	102.81606242268172	262.44848356210537
CG13365	116.70945488094641	109.38750964001251	111.0704724472542	136.29161710591146	72.07723963651915	152.8989244824045
CG13366	469.04683128809376	404.47939611074395	449.92954093040265	366.47301488478416	380.5254269045643	235.22911458831464
CG14634	0.368168627384689	2.543895573023547	0.0	1.5143513011767942	1.0599594064193991	0.6720831845380418
CG11664	0.736337254769378	0.0	0.0	0.0	0.0	0.0
CG11663	0.368168627384689	0.0	0.0	0.0	0.0	0.0
MED22	44.91657254093206	78.86076276372995	52.7114106529342	77.2319163600165	29.678863379743177	62.16769456976887
CG32815	1231.8922272291693	872.5561815470766	1167.1812358864001	816.235351334292	931.7043182426519	521.8725927937895
TRAM	191.07951761265358	157.7215255274599	216.4932937531226	154.463832720033	299.96851201669	207.33766242998593
mus81	18.40843136923445	30.526746876282562	20.708054185081295	10.600459108237558	29.678863379743177	28.22749375059776
CG18823	0.736337254769378	0.0	0.0	1.5143513011767942	4.2398376256775965	4.032499107228251
CG14631	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
CG3021	74.73823135909187	53.42180703349448	52.7114106529342	51.487944240011	54.05792972738936	74.60123348372265
CG14629	76.57907449601531	94.12413620187122	90.36241826217291	101.4615371788452	31.798782192581978	16.129996428913003
CG14628	0.368168627384689	0.0	1.8825503804619357	0.0	1.0599594064193991	1.0081247768070627
CG3655	301.89827445544495	305.2674687628256	265.43960364513293	240.78185688711025	256.5101763534946	294.70847641993134
CDC45L	77.68358037816938	91.58024062884768	79.06711597940131	83.28932156472368	107.05590004835932	57.12707068573356
CG11638	909.3765096401818	979.3997956140655	881.0335780561859	1149.3926375931867	497.12096161069826	540.3548803685857
TfIIA-S-2	0.0	0.0	0.0	0.0	0.0	1.0081247768070627
CG3690	0.368168627384689	0.0	0.0	0.0	4.2398376256775965	12.769580506222795
CG3699	5.890698038155024	0.0	9.41275190230968	34.830079927066265	2.1199188128387982	35.62040878051622
CG3703	709.092776342911	709.7468648735695	594.8859202259717	542.1377658212923	450.48274772824465	650.2404810405556
CG3704	96.46018037478851	58.50959817954158	75.30201521847744	71.17451115530932	87.97663073281014	63.511860938844954
CG3706	5.154360783385646	2.543895573023547	11.295302282771614	3.0287026023535883	13.77947228345219	1.3441663690760837
CG3708	1.104505882154067	2.543895573023547	0.0	0.0	1.0599594064193991	0.0
CG3713	16.567588232311003	45.79012031442384	26.3557053264671	51.487944240011	3.179878219258198	169.70100409585558
CG32814	4.049854901231579	7.631686719070641	3.7651007609238714	7.571756505883971	3.179878219258198	2.6883327381521673
CG11378	65.53401567447465	73.77297161768286	88.47986788171097	102.975888480022	19.079269315549187	251.35911101722766
CG11379	0.736337254769378	0.0	0.0	0.0	0.0	0.3360415922690209
CG14627	1.840843136923445	0.0	0.0	0.0	0.0	2.0162495536141254
CG14626	0.368168627384689	0.0	0.0	3.0287026023535883	3.179878219258198	3.6964575149592305
CG11380	4.786192156000957	5.087791146047094	1.8825503804619357	1.5143513011767942	1.0599594064193991	0.0
CG14625	9.940552939386603	7.631686719070641	0.0	0.0	8.479675251355193	3.3604159226902093
CG11381	5.522529410770335	10.175582292094187	1.8825503804619357	1.5143513011767942	8.479675251355193	1.3441663690760837
CG14624	2.945349019077512	2.543895573023547	0.0	0.0	7.419715844935794	0.0
CG11382	52.27994508862584	50.87791146047093	0.0	0.0	107.05590004835932	28.8995769351358
CG32812	6.2588666655397125	5.087791146047094	1.8825503804619357	7.571756505883971	20.139228721968585	12.097497321684754
fs(1)N	1.840843136923445	2.543895573023547	3.7651007609238714	1.5143513011767942	9.539634657774593	10.417289360339648
Naa30A	343.50132934991484	292.54799089770785	367.0973241900775	330.12858365654114	310.568106080884	361.5807532814665
Tsp2A	8.099709802463158	15.263373438141281	1.8825503804619357	13.629161710591147	16.959350502710386	16.802079613451046
CG11417	72.89738822216842	58.50959817954158	45.181209131086455	49.97359293883421	90.09654954564894	33.26811763463307
CG14770	2.209011764308134	2.543895573023547	7.530201521847743	7.571756505883971	1.0599594064193991	6.384790253111397
ssx	2964.8619563289003	2192.8379839462973	3362.2349795050172	2457.7921618099367	2346.75012581255	2074.384749076666
AMPKalpha	1469.3609918922937	1274.4916820847968	1385.5570800199846	1205.423635736728	718.6524775523527	745.6762932449575
CG32813	487.8234312847129	353.601484650273	491.34564930056524	381.6165278965521	579.7977953114114	587.0646616939796
CG11448	3056.1677759203035	2620.212440214253	2230.822200847394	2082.2330391180917	1559.2002868429363	1531.6775775621975
Lrpprc2	245.93664309297225	198.42385469583664	295.5604097325239	261.98277510358537	188.67277434265307	64.85602730792104
CG14785	31.294333327698563	17.807269011164827	15.060403043695485	12.114810409414353	32.85874159900138	16.466038021182026
CG3719	301.5301058280603	348.5136935042259	239.08389831866583	255.92536989887822	196.09249018758885	477.85114420654776
png	5.154360783385646	7.631686719070641	7.530201521847743	6.057405204707177	8.479675251355193	10.75333095260867
CG12773	252.56367838589665	226.40670599909566	250.37920060143745	266.52582900711576	324.3475783643362	247.66265350226843
MTPAP	87.25596469017128	71.22907604465931	90.36241826217291	78.74626766119329	130.3750069895861	80.64998214456503
CG11409	3.3135176464622007	0.0	9.41275190230968	3.0287026023535883	3.179878219258198	0.6720831845380418
DAAM	1497.34180757353	1126.945738849431	1362.9664754544415	1076.7037751367006	838.4278904777448	487.9323919746184
CG32811	0.0	0.0	0.0	0.0	0.0	0.3360415922690209
Atf3	169.35756859695692	165.35321224653055	276.73490592790455	222.60964127298874	180.19309909129788	319.9115958401079
CG11403	32.76700783723732	20.351164584188375	32.00335646785291	28.77267472235909	37.09857922467897	20.162495536141257
CG11398	135.48605487756555	101.75582292094187	48.946309892010326	39.37313383059664	137.7947228345219	46.70978132539391
CG11384	2.577180391692823	0.0	0.0	0.0	7.419715844935794	6.720831845380419
eIF4E7	0.368168627384689	2.543895573023547	0.0	0.0	2.1199188128387982	0.3360415922690209
CG14777	320.3067058246794	315.4430510549198	355.80202190730586	321.04247584948035	504.540677455634	758.1098321589112
CG14778	39.39404313016172	22.89506015721192	39.533557989700654	25.7439721200055	21.199188128387984	11.425414137146712
CG14780	3.68168627384689	7.631686719070641	5.647651141385807	3.0287026023535883	4.2398376256775965	4.704582291766293
