"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","43/3832","98/8545",0.438775510204082,0.978428166673768,-0.193661591702526,0.615024669125063,1,0.870620354921887,"BAD/E2F2/CREB3L3/ARAF/HSP90AA1/GSK3B/HSP90AB1/MMP9/E2F1/IKBKB/CCNE1/PIK3R2/CREB3/CCND1/CDKN1B/E2F3/IL1R2/PIK3R3/PLAU/CDK2/MAP2K2/KRAS/MDM2/LEF1/IGF1R/PDPK1/TP53/ERBB2/AKT1/CREB3L4/MMP3/CREB3L1/SPINT1/HSP90B1/NKX3-1/AR/RELA/HRAS/CCNE2/GRB2/NRAS/IKBKG/SRD5A2",43,43,98
"hsa04136","Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","14/3832","32/8545",0.4375,0.97558389874739,-0.124768409790237,0.616564778275924,1,0.870620354921887,"ATG5/WIPI1/ATG16L1/ATG4A/PPP2CA/ATG101/ATG4D/RPTOR/ATG3/MLST8/ATG4B/ATG9B/BECN2/ATG7",14,14,32
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","14/3832","32/8545",0.4375,0.97558389874739,-0.124768409790237,0.616564778275924,1,0.870620354921887,"IL9/FCER1G/CCL11/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB2/TNF/HLA-DOB/HLA-DMB",14,14,32
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","46/3832","105/8545",0.438095238095238,0.9769112237797,-0.214644117562675,0.621777853936615,1,0.870620354921887,"BTK/TRAF1/NFKB2/TRAF5/ICAM1/BLNK/CSNK2A1/XIAP/TNFSF13B/TRADD/UBE2I/IKBKB/RELB/PPP1R13L/PIAS4/RIGI/LTBR/ZAP70/PLAU/TRAF2/TICAM1/LBP/GADD45G/BCL2A1/CARD14/PARP1/TAB3/TNFRSF13C/SYK/CXCL8/BCL2L1/CCL19/MYD88/RELA/PIDD1/LCK/IRAK1/EDARADD/CARD11/CSNK2B/LAT/LTA/LTB/TNF/CSNK2A3/IKBKG",46,46,105
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","17/3832","39/8545",0.435897435897436,0.972010331352711,-0.157965418219968,0.623120813745173,1,0.870620354921887,"MTHFD2/AHCY/MTHFD1L/SARDH/GNMT/ALDH1L2/MTHFS/ATIC/MAT1A/GART/CBS/FTCD/TYMS/GLDC/SHMT2/DHFR/LOC102724560",17,17,39
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","95/3832","216/8545",0.439814814814815,0.980745718317482,-0.258435646081146,0.627638579537101,1,0.870620354921887,"BAD/NOX1/BID/POU2F2/HSPA5/MAPK9/CYBA/CAMK2B/CASP8/CAMK2A/CDC42/ARHGEF1/HSP90AA1/GSK3B/BAX/ICAM1/HSP90AB1/XBP1/MMP9/PYCARD/IKBKB/PIK3R2/HSPA8/IL12B/NCF2/PIK3R3/FASLG/APOA1/ATF6/IRF3/HSPA2/TRAF2/TICAM1/LBP/KRAS/EIF2S1/VAV3/RAC1/POU2F3/PLCB2/CYP2C8/CASP6/PDPK1/TP53/VAV1/AKT1/POU2F1/CALM2/HSPD1/PLCB3/MMP3/IL18/MAPK13/NCF1/CALM3/ABCG1/VAV2/CASP3/CASP7/HSP90B1/PTK2/CXCL8/CALML6/HSPA4/BCL2L1/IFNB1/EIF2AK3/CYCS/MYD88/RELA/HSPA6/OLR1/TLR6/HRAS/DDIT3/CALML5/TBK1/IRAK1/IRF7/MAPK12/MMP1/SRC/CYP2B6/ERO1A/CYP2A7/HSPA1B/HSPA1A/HSPA1L/NRAS/TNF/CYP2A6/IKBKE/IKBKG/CCL5/CCL3L1",95,95,216
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","49/3832","112/8545",0.4375,0.97558389874739,-0.234524883347984,0.628196520208893,1,0.870620354921887,"BAD/MAPK9/CASP8/GNAI3/GNAO1/BIRC7/XIAP/IKBKB/NFKBIB/TGFB1/TYK2/PPIF/HSPA8/IFNG/IL12B/STAT1/TGFB3/LAMA5/PDPK1/PIK3R5/AKT1/MAPK13/IFNGR2/CCR5/CASP3/BCL2L1/CYCS/MYD88/RELA/HSPA6/HLA-DQB1/IRAK1/SOCS1/MAPK12/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DRA/HSPA1B/HSPA1A/HSPA1L/HLA-DPB1/HLA-DPA1/HLA-DQB2/TNF/HLA-DOB/HLA-DMB/IKBKG/PIK3R6",49,49,112
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","86/3832","196/8545",0.438775510204082,0.978428166673768,-0.275481545881449,0.63529886471964,1,0.870620354921887,"E2F2/BID/BAK1/MAPK9/EIF2AK2/CASP8/GNB1/GSK3B/BAX/ICAM1/ITPR3/HIF1A/NFATC4/HCK/E2F1/MAP1LC3A/TRADD/IKBKB/TYK2/PIK3R2/CCND1/E2F3/VEGFA/CD86/GNB4/STAT1/PIK3R3/PREX1/IRF3/MAP2K2/TRAF2/GNG13/TICAM1/GNGT1/KRAS/CDK4/RAC1/LEF1/PIK3R5/TP53/AKT1/CALM2/ATG3/MAPK13/CALM3/CCR5/GNG3/MAPKAPK2/CASP3/SYK/GNGT2/GNG8/FADD/GNG4/CXCL8/CALML6/UBB/STAT2/IFNB1/CYCS/GNB2/RELA/GNG5/HRAS/CALML5/CCR8/CCR3/TBK1/CCR4/IRF7/MAPK12/BECN2/SRC/MICB/HLA-C/HLA-G/HLA-F/HLA-A/NRAS/IRF9/UBA52/HLA-B/GNG10/IKBKE/IKBKG/PIK3R6",86,86,196
"hsa04961","Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","23/3832","53/8545",0.433962264150943,0.967695080159137,-0.212714090890091,0.635550251176708,1,0.870620354921887,"AP2B1/AP2S1/ATP2B3/ATP1B3/DNM2/GNAS/ESR1/RAB11A/ATP1A3/VDR/SLC8A2/CLTA/PRKCG/ATP1A4/PLCB2/CLTC/PRKACB/ATP1B1/PLCB3/AP2M1/ADCY9/CLTB/AP2A1",23,23,53
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","16/3832","37/8545",0.432432432432432,0.964283699148,-0.196312631258087,0.639170575739341,1,0.870620354921887,"ICAM1/APOL1/IFNG/IL12B/KNG1/FASLG/APOA1/PRKCG/IDO1/PLCB2/PLCB3/IL18/THOP1/MYD88/IDO2/TNF",16,16,37
"hsa05216","Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","16/3832","37/8545",0.432432432432432,0.964283699148,-0.196312631258087,0.639170575739341,1,0.870620354921887,"BAK1/CDH1/TPR/BAX/CCDC6/CCND1/TFG/MAP2K2/GADD45G/KRAS/LEF1/TP53/TPM3/RET/HRAS/NRAS",16,16,37
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","44/3832","101/8545",0.435643564356436,0.971444221666426,-0.260300634537451,0.639729543468587,1,0.870620354921887,"KITLG/CAMK2B/CREB3L3/GNAI3/CAMK2A/TYR/ADCY2/GSK3B/GNAO1/GNAS/WNT2/TYRP1/CREB3/DVL1/WNT3/WNT5A/ADCY7/PRKCG/MAP2K2/KRAS/WNT10A/PLCB2/LEF1/PRKACB/CREB3L4/WNT9A/CALM2/PLCB3/WNT3A/WNT7A/CREB3L1/CALM3/DVL3/ADCY9/WNT4/ADCY1/FZD6/CALML6/HRAS/CALML5/FZD2/WNT7B/NRAS/MC1R",44,44,101
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","26/3832","60/8545",0.433333333333333,0.966292623521225,-0.236248632731465,0.641400016402374,1,0.870620354921887,"BAD/SH2D2A/SPHK2/CDC42/PIK3R2/HSPB1/VEGFA/MAPKAPK3/PIK3R3/PRKCG/MAP2K2/RAC2/KRAS/RAC1/AKT1/MAPK13/PLA2G4D/MAPKAPK2/PLA2G4F/PTK2/RAC3/HRAS/SPHK1/MAPK12/SRC/NRAS",26,26,60
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","43/3832","99/8545",0.434343434343434,0.968545053879083,-0.283841343988161,0.648877322026399,1,0.870620354921887,"BAD/E2F2/MAPK9/ARAF/ADCY2/BAX/GNAS/DLL3/ESR1/BIK/MMP9/E2F1/PIK3R2/RPS6KB1/CCND1/CDKN1B/E2F3/PIK3R3/ADCY7/NCOA3/MED1/MAP2K2/KRAS/CDK4/MDM2/IGF1R/TP53/ERBB2/AKT1/CARM1/PRKACB/CDKN2A/MAPK13/SHC1/ADCY9/ADCY1/PTK2/HRAS/RPS6KB2/GRB2/MAPK12/SRC/NRAS",43,43,99
"hsa00601","Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","12/3832","28/8545",0.428571428571429,0.95567402326275,-0.211830580527488,0.653770339997476,1,0.870620354921887,"B4GALT1/ST3GAL4/B4GALT2/B4GALT4/ST3GAL3/B4GALT3/B4GALNT2/B3GALNT1/FUT3/B3GNT4/FUT2/FUT7",12,12,28
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","35/3832","81/8545",0.432098765432099,0.963539653083842,-0.297283036888298,0.657633225400456,1,0.870620354921887,"TYMP/RRM2B/NME3/NME4/IMPDH1/UGT2B10/UMPS/ITPA/DUT/GSTM3/UGT2A3/TPMT/NME7/UCK2/GSTO1/NAT2/UGT2B4/GMPS/HPRT1/UGT1A6/RRM1/TK1/GUSB/NAT1/RRM2/NME6/GSTA3/UPP1/UGT2B17/CYP2A7/UCKL1/NME1/NME2/GSTA2/CYP2A6",35,35,81
"hsa00380","Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","18/3832","42/8545",0.428571428571429,0.95567402326275,-0.25965190904958,0.659107053728225,1,0.870620354921887,"AOC1/IL4I1/GCDH/KYNU/KMO/ACAT2/TPH1/AANAT/IDO1/DDC/ALDH1B1/CYP1B1/TPH2/TDO2/ACMSD/DHTKD1/AFMID/IDO2",18,18,42
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","18/3832","42/8545",0.428571428571429,0.95567402326275,-0.25965190904958,0.659107053728225,1,0.870620354921887,"CP/ATG5/TFRC/VDAC3/HMOX1/GSS/MAP1LC3A/SLC11A2/SAT1/SLC40A1/SLC39A8/TP53/SLC7A11/ACSL6/FTH1/SLC3A2/PCBP1/ATG7",18,18,42
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","31/3832","72/8545",0.430555555555556,0.960098440037114,-0.306571776193796,0.663430679470937,1,0.870620354921887,"MAPK9/ATG5/CASP8/OTUD5/TRADD/IKBKB/NFKBIB/RIGI/DHX58/IL12B/IFIH1/ZNFX1/IRF3/TRAF2/PIN1/TKFC/MAPK13/ADAR/FADD/CXCL10/CXCL8/IFNB1/RELA/IFNW1/TBK1/IRF7/ISG15/MAPK12/TNF/IKBKE/IKBKG",31,31,72
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","40/3832","93/8545",0.43010752688172,0.959099378184839,-0.357590762177966,0.676996740976649,1,0.870620354921887,"MAPK9/TBX21/IL12RB2/DLL3/IL12RB1/IL2RB/IKBKB/NFKBIB/TYK2/JAK3/GATA3/IFNG/IL12B/ZAP70/STAT1/RBPJL/IL2RA/NFKBIE/IL2RG/MAPK13/IFNGR2/CD3G/CD3D/RELA/HLA-DQB1/LCK/MAPK12/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD247/CD3E/HLA-DRA/LAT/HLA-DPB1/HLA-DPA1/HLA-DQB2/HLA-DOB/HLA-DMB/IKBKG",40,40,93
"hsa00531","Metabolism","Glycan biosynthesis and metabolism","hsa00531","Glycosaminoglycan degradation","8/3832","19/8545",0.421052631578947,0.938907812328316,-0.240372324725404,0.678375587908087,1,0.870620354921887,"HYAL4/ARSB/IDUA/GALNS/GUSB/GLB1/HPSE/HYAL3",8,8,19
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","39/3832","91/8545",0.428571428571429,0.95567402326275,-0.383303282794152,0.686590093645434,1,0.870620354921887,"BTK/CD22/DAPP1/GSK3B/BLNK/IKBKB/NFKBIB/LILRB1/CD79A/PIK3R2/PTPN6/CR2/PIK3R3/MAP2K2/RAC2/LILRB2/KRAS/VAV3/RAC1/BLK/CD72/VAV1/AKT1/NFKBIE/PIK3AP1/VAV2/SYK/INPPL1/RAC3/RELA/HRAS/CD19/GRB2/IFITM1/LILRB4/CARD11/NRAS/LILRA4/IKBKG",39,39,91
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","32/3832","75/8545",0.426666666666667,0.95142658315936,-0.380962502748366,0.689408799731465,1,0.870620354921887,"IYD/TG/HSPA5/CREB3L3/ATP1B3/ADCY2/GNAS/ITPR3/GSR/ATP1A3/SLC5A5/CREB3/GPX7/TTF2/TTR/ADCY7/PRKCG/CANX/ATP1A4/CGA/PLCB2/PRKACB/ATP1B1/CREB3L4/PLCB3/PDIA4/CREB3L1/ADCY9/GPX8/ADCY1/HSP90B1/ATF6B",32,32,75
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","56/3832","130/8545",0.430769230769231,0.960574915689738,-0.408424604248833,0.689638049926117,1,0.870620354921887,"MAPK9/GNA15/CREB3L3/GNAI3/PRKCZ/ADCY2/GNB1/GNAO1/GNAS/MMP9/TGFB1/PIK3R2/RLN2/RLN1/CREB3/COL1A1/VEGFA/GNB4/PIK3R3/ADCY7/MAP2K2/GNG13/GNGT1/KRAS/MMP13/PLCB2/ARRB2/AKT1/PRKACB/CREB3L4/PLCB3/MAPK13/CREB3L1/SHC1/ADCY9/GNG3/COL1A2/ADCY1/GNGT2/GNG8/GNG4/COL3A1/RXFP1/GNB2/INSL5/RELA/GNG5/HRAS/GRB2/RXFP3/MAPK12/MMP1/SRC/NRAS/ATF6B/GNG10",56,56,130
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","19/3832","45/8545",0.422222222222222,0.941515889584783,-0.354673983375502,0.691593446577524,1,0.870620354921887,"ABCB4/ABCC8/ABCA7/ABCD1/ABCC1/ABCC5/ABCD3/ABCC10/ABCC4/ABCB10/ABCC12/ABCA12/ABCB9/ABCG1/ABCA3/TAP1/ABCB8/ABCA4/TAP2",19,19,45
"hsa00130","Metabolism","Metabolism of cofactors and vitamins","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis","5/3832","12/8545",0.416666666666667,0.929127522616562,-0.221519526476573,0.691859078913218,1,0.870620354921887,"COQ4/COQ7/VKORC1/COQ2/NQO1",5,5,12
"hsa03265","Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","5/3832","12/8545",0.416666666666667,0.929127522616562,-0.221519526476573,0.691859078913218,1,0.870620354921887,"SLAMF1/CD46/CHRNA1/NECTIN4/NCAM2",5,5,12
"hsa04973","Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","22/3832","52/8545",0.423076923076923,0.943421792195279,-0.368990297270781,0.693103903887967,1,0.870620354921887,"ATP1B3/SI/ATP1A3/PIK3R2/LCT/PIK3R3/ATP1A4/SLC37A4/PLCB2/G6PC3/AKT1/ATP1B1/PLCB3/HKDC1/HK1/CACNA1D/HK3/TAS1R3/TAS1R2/GNAT3/AMY2A/MGAM",22,22,52
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","45/3832","105/8545",0.428571428571429,0.95567402326275,-0.412075116978505,0.6942939492131,1,0.870620354921887,"MAPK9/CASP8/BCL3/NFKB2/ITPR3/NFATC4/CCL22/CCL17/PYCARD/IKBKB/RELB/PIK3R2/IL23A/IL12B/STAT1/PIK3R3/IRF1/KRAS/MDM2/AKT1/CALM2/PAK1/MAPK13/FCER1G/CALM3/MAPKAPK2/PRKCD/SYK/CLEC4E/CLEC4D/CALML6/STAT2/CLEC7A/RELA/HRAS/CALML5/CARD9/MAPK12/SRC/CLEC6A/NRAS/IRF9/TNF/IKBKE/IKBKG",45,45,105
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","44/3832","103/8545",0.427184466019417,0.952581227070961,-0.436556943390884,0.703169549192683,1,0.870620354921887,"MAPK9/GNA15/CASP8/GNAI3/PPP2R2C/GNAO1/GNAS/IKBKB/TGFB1/PPP2R1A/PIK3R2/SERPINE1/IFNG/IL12B/PPP2CA/KNG1/PIK3R3/FASLG/TGFB3/TICAM1/PLCB2/AKT1/PLCB3/GNA14/MAPK13/IFNGR2/CD3G/ADCY1/CD3D/FADD/CXCL8/IFNB1/MYD88/RELA/TLR6/CALR/IRAK1/MAPK12/CD247/CD3E/TNF/IKBKG/CCL5/CCL3L1",44,44,103
"hsa00450","Metabolism","Metabolism of other amino acids","hsa00450","Selenocompound metabolism","7/3832","17/8545",0.411764705882353,0.918196610585779,-0.304415536258102,0.705506577357954,1,0.870620354921887,"SEPHS1/SCLY/MARS1/SEPHS2/TXNRD2/TXNRD1/MARS2",7,7,17
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","52/3832","122/8545",0.426229508196721,0.950451760840549,-0.497014879060633,0.721212792940539,1,0.870620354921887,"LCP2/MAPK9/CDC42/PPP2R2C/PTPRC/GSK3B/IKBKB/NFKBIB/PPP2R1A/PIK3R2/IFNG/PTPN6/ITK/PPP2CA/ZAP70/PIK3R3/MAP2K2/PAK4/KRAS/VAV3/CDK4/PAK6/PDPK1/VAV1/AKT1/NFKBIE/PAK1/CD8A/PPP2R5E/MAPK13/VAV2/CD3G/CTLA4/ICOS/CD3D/PPP2R3B/CD8B/RASGRP1/RELA/HRAS/GRB2/PAK2/LCK/MAPK12/PDCD1/CARD11/CD247/CD3E/NRAS/LAT/TNF/IKBKG",52,52,122
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","17/3832","41/8545",0.414634146341463,0.924595193237945,-0.436389190160117,0.722220255518027,1,0.870620354921887,"GCAT/AGXT2/SARDH/GNMT/GAMT/PSAT1/SDS/SDSL/PSPH/CBS/PGAM1/BPGM/GLDC/PIPOX/SHMT2/PGAM4/LOC102724560",17,17,41
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","29/3832","69/8545",0.420289855072464,0.937206892378445,-0.472210563628114,0.722604807133678,1,0.870620354921887,"SLC18A1/CAMK2B/CREB3L3/CAMK2A/GNAS/GRIN2D/STX1A/CREB3/GRIN3B/HDAC1/GRIA2/PRKCG/DDC/SLC6A3/PRKACB/CREB3L4/CALM2/CAMK4/CACNA1D/CREB3L1/CALM3/GRIN2C/CALML6/PPP1CA/GRIN1/CALML5/TH/HDAC2/ATF6B",29,29,69
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","32/3832","76/8545",0.421052631578947,0.938907812328316,-0.482359745210683,0.724166027267566,1,0.870620354921887,"E2F2/CAMK1G/BAK1/CAMK2B/CAMK2A/ARAF/BAX/E2F1/PIK3R2/CCND1/E2F3/PIK3R3/PRKCG/MAP2K2/GADD45G/KRAS/CDK4/MDM2/IGF1R/TP53/AKT1/CALM2/CDKN2A/CAMK4/CALM3/SHC1/CALML6/HRAS/GRB2/CALML5/CAMK1D/NRAS",32,32,76
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","100/3832","232/8545",0.431034482758621,0.961166402706788,-0.540713702013257,0.727794561044542,1,0.870620354921887,"ITGAL/ITGA2B/SCIN/BCAR1/CYFIP2/LPAR2/FGFR3/PFN2/FGF22/CDC42/FGF4/ACTB/ARHGEF1/ARAF/SLC9A1/EZR/MYLK2/FGD1/MYH14/FGF21/PIK3R2/WASL/MYL10/ACTR3C/LIMK1/GIT1/PFN1/ARPC3/KNG1/ACTR3/ITGA4/FN1/PIK3R3/MYL12B/GNA13/CXCR4/NCKAP1L/MAP2K2/FGD3/RAC2/ARPC1B/PAK4/DIAPH1/ACTR3B/KRAS/VAV3/RAC1/ARPC5L/ITGA11/PAK6/ACTR2/ITGAV/FGF5/ITGB7/DIAPH3/ITGAX/MYLK3/VAV1/AKT1/PIP5K1A/PAK1/PIP4K2A/CYRIB/ENAH/TIAM1/ITGAD/ITGB2/VAV2/FGFR4/ITGA5/ARPC5/ARPC2/PIP4K2C/PTK2/RAC3/ITGAM/PPP1CA/CFL1/SSH3/HRAS/BAIAP2/PFN4/C8G/MYL11/F2/PAK2/CHRM4/F2R/IQGAP3/ACTG1/LPAR5/PIP5K1C/FGF3/SRC/NRAS/MYL5/SPATA13/ARPC4/ARPC1A/BRK1",100,100,232
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","38/3832","90/8545",0.422222222222222,0.941515889584783,-0.50291777708176,0.728026076715786,1,0.870620354921887,"HIF1A/CSNK2A1/IKBKB/NFKBIB/PIK3R2/RPS6KB1/IFNG/PTPN6/ZAP70/STAT1/PIK3R3/CD274/MAP2K2/TICAM1/KRAS/AKT1/NFKBIE/BATF/MAPK13/IFNGR2/CD3G/CD3D/BATF2/RASGRP1/MYD88/RELA/HRAS/RPS6KB2/LCK/MAPK12/PDCD1/CD247/CD3E/CSNK2B/NRAS/LAT/CSNK2A3/IKBKG",38,38,90
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","41/3832","97/8545",0.422680412371134,0.942537610571853,-0.513200706732053,0.730196154874632,1,0.870620354921887,"CAMK2B/GNAI3/CAMK2A/ADCY2/GNB1/GNAO1/GNAS/ITPR3/CACNA1I/GRIN2D/GNB4/GRIA2/ADCY7/PRKCG/GNG13/GNGT1/MTNR1B/PLCB2/PRKACB/ADCY10/CALM2/PLCB3/CACNA1D/KCNJ6/CALM3/GRIN2C/ADCY9/GNG3/KCNJ9/KCNJ3/ADCY1/GNGT2/GNG8/GNG4/CALML6/GNB2/GNG5/GRIN1/CALML5/CACNA1H/GNG10",41,41,97
"hsa00860","Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","19/3832","46/8545",0.41304347826087,0.921048152854679,-0.484118798236757,0.735318373181508,1,0.870620354921887,"HCCS/CP/BLVRB/HMOX1/EARS2/HMOX2/BLVRA/UGT2B10/UGT2A3/EPRS1/PPOX/UGT2B4/UGT1A6/FTH1/GUSB/HEPHL1/UROS/UGT2B17/HMBS",19,19,46
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","49/3832","116/8545",0.422413793103448,0.941943074652653,-0.567661773950315,0.745255922499016,1,0.870620354921887,"ITGAL/BCAR1/CYBA/GNAI3/CTNNA2/CDC42/ACTB/ICAM1/EZR/MMP9/PIK3R2/MYL10/ITK/ITGA4/NCF2/PIK3R3/MYL12B/CXCR4/VASP/PRKCG/RAC2/VAV3/RAC1/VAV1/THY1/MAPK13/CLDN12/NCF1/F11R/CLDN14/ITGB2/VAV2/CLDN3/RHOH/PTK2/ITGAM/MYL11/CLDN7/ACTG1/CLDN6/MAPK12/CLDN4/OCLN/SIPA1/CLDN9/MYL5/CLDN25/CLDN34/RASSF5",49,49,116
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","72/3832","169/8545",0.42603550295858,0.950019147385455,-0.591729646429226,0.748019242121216,1,0.870620354921887,"BAD/LAMP2/MAPK9/ATG5/VMP1/WIPI1/RAB7A/TP53INP2/ATG16L1/SNAP29/HIF1A/MAP1LC3A/ATG4A/TSC2/VPS18/PIK3R2/TAX1BP1/RHEB/YKT6/MTMR4/RPS6KB1/AMBRA1/PPP2CA/GORASP2/PIK3R3/CTSD/STK11/VAMP8/ATG101/MAP2K2/ATG4D/KRAS/EIF2S1/RAB1A/VPS33A/IGF1R/PDPK1/RPTOR/WDR45B/AKT1/PRKACB/ATG3/RUBCN/RAB39B/SQSTM1/PRKAA2/MTMR14/PRKCD/CTSB/RAB8A/DAPK3/MLST8/ATG16L2/DDIT4/ATG4B/UBB/BCL2L1/EIF2AK3/HRAS/RPS6KB2/ULK1/ATG9B/TBK1/LAMP1/BECN2/DAPK1/ATG7/AKT1S1/NRAS/VPS16/UBA52/SUPT20HL2",72,72,169
"hsa04962","Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","18/3832","44/8545",0.409090909090909,0.912234294932625,-0.526272681230148,0.750061492115101,1,0.870620354921887,"CREB3L3/NSF/GNAS/DYNLL1/STX4/RAB11A/CREB3/RAB5C/ARHGDIB/ARHGDIA/PRKACB/CREB3L4/DYNC1LI1/CREB3L1/ADCY9/AQP3/DCTN5/DYNLL2",18,18,44
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","160/3832","370/8545",0.432432432432432,0.964283699148,-0.633312564270166,0.753587233746785,1,0.870620354921887,"TBXA2R/GIPR/PRSS3/GABRA3/GABRA1/UTS2/NPFFR2/OGFR/LPAR2/GAL/DRD4/SCT/PRLH/TACR2/P2RY10/CHRNA3/OPRK1/P2RX5/MLN/TSPO/HRH3/NTSR1/CHRNA4/GLRA2/GRIN2D/VIPR2/GHRHR/RLN2/RLN1/PPY/TMEM97/GNRHR/NMU/CCKBR/CALCA/OPRM1/GABRG2/PRLR/KNG1/KISS1R/GRIN3B/OPRD1/CHRNB4/GHRH/CRHR1/GRIA2/IAPP/GHSR/PLG/NPY/GRM4/OPRL1/GNRH2/S1PR4/GRPR/SLURP1/EDN2/F2RL3/ADM2/ADORA2A/MCHR1/GALR3/VGF/CHRNA10/PYY/MTNR1B/P2RX4/CGA/AGT/CHRND/GABBR2/HCRTR2/CHRNA1/PTH2/UCN2/GZMA/GLRA1/HTR2C/CHRNB3/CHRNA6/NPFFR1/GRIK4/GPHA2/LYPD6B/MCHR2/GHRL/HTR6/GIP/PTGIR/CHRNB2/PAQR6/PTGER1/GRIN2C/SSTR5/CCKAR/UCN/GRM2/NPY1R/F2RL2/GRIK2/GABRB3/TAC3/PNOC/HTR1E/GRM5/NTSR2/CHRNA5/TACR3/KISS1/TRH/RXFP1/LPAR3/P2RY6/INSL5/CHRNA9/P2RY2/GPR156/CALCB/MC5R/GRIN1/HTR1A/UCN3/GPR35/HTR1D/GRM8/F2/SSTR2/CHRM4/S1PR5/F2R/P2RY8/RXFP3/GALR2/GABRR3/NPW/MC2R/GABRA5/P2RY4/CCK/FPR3/GABRD/P2RX2/QRFP/CNR2/CHRNG/PATE2/AVPR1B/PRSS1/CSH2/S1PR3/LTB4R/GCGR/PATE4/P2RY11/MC1R/GABRQ/PRSS2/SSTR3/ADORA3/NPBWR1",160,160,370
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","44/3832","105/8545",0.419047619047619,0.9344368227458,-0.609506116394334,0.760005266268973,1,0.870620354921887,"MAPK9/FUNDC1/RAB7A/HIF1A/CSNK2A1/E2F1/MAP1LC3A/TAX1BP1/RAB5C/AMBRA1/CCZ1/TRAF2/MTX2/TOMM40/KRAS/EIF2S1/RHOT2/TP53/CCZ1B/TOMM70/RABGEF1/TOMM40L/AMFR/SQSTM1/MON1A/VCP/UBB/MFN1/BCL2L1/EIF2AK3/RELA/MTX1/TOMM20/HRAS/ULK1/ATG9B/TBK1/BECN2/SRC/CSNK2B/NRAS/UBA52/PGAM5/CSNK2A3",44,44,105
