"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_a","BgRatio_a"
"hsa00360","Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","8/3832","16/8545",0.5,1.11495302713987,0.41497888229983,0.432057891985945,1,0.870620354921887,"ALDH3B1/IL4I1/GOT1/GOT2/DDC/ALDH3B2/PAH/MIF",8,8,16
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","33/3832","71/8545",0.464788732394366,1.03643520832721,0.277971871938395,0.435666672684889,1,0.870620354921887,"PFKP/PKM/FGFR3/SIRT6/TIGAR/HIF1A/SLC7A5/SLC1A5/PIK3R2/SLC2A1/PIK3R3/FLT3/MAP2K2/KRAS/LDHA/GLS2/TP53/SLC16A3/ERBB2/PFKL/AKT1/HKDC1/HK1/G6PD/HK3/RET/LDHC/PGAM1/HRAS/IDH2/NRAS/PGAM4/SCO2",33,33,71
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","17/3832","36/8545",0.472222222222222,1.05301119229877,0.287391693124268,0.450292823403875,1,0.870620354921887,"ALDH3B1/TYR/COMT/GSTZ1/IL4I1/TYRP1/HGD/GOT1/DBH/GOT2/DDC/ALDH3B2/PNMT/TH/FAHD1/MIF/LRTOMT",17,17,36
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","60/3832","132/8545",0.454545454545455,1.01359366103625,0.141919674925199,0.477414294912992,1,0.870620354921887,"SLC18A1/MAPK9/CAMK2B/CREB3L3/GNAI3/DRD4/CAMK2A/PPP2R2C/GNB1/GSK3B/GNAO1/GNAS/COMT/ITPR3/PPP2R1A/GSK3A/CREB3/PPP2CA/GNB4/GRIA2/PRKCG/GNG13/GNGT1/CALY/DDC/PLCB2/ARRB2/CACNA1A/AKT1/SLC6A3/PRKACB/CREB3L4/CALM2/SCN1A/CACNA1B/PLCB3/PPP2R5E/MAPK13/CACNA1D/KCNJ6/CREB3L1/CALM3/GNG3/KCNJ9/KCNJ3/GNGT2/PPP2R3B/GNG8/GNG4/KIF5C/CALML6/GNB2/PPP1CA/GNG5/CALML5/TH/MAPK12/ATF6B/GNG10/LRTOMT",60,60,132
"hsa00770","Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","10/3832","21/8545",0.476190476190476,1.0618600258475,0.255913192206568,0.482541539264745,1,0.870620354921887,"BCAT1/COASY/BCAT2/PANK3/PPCS/ALDH1B1/PPCDC/AASDHPPT/PANK1/ENPP1",10,10,21
"hsa04211","Organismal Systems","Aging","hsa04211","Longevity regulating pathway","41/3832","90/8545",0.455555555555556,1.01584609139411,0.13626403826236,0.486714933219986,1,0.870620354921887,"ATG5/CREB3L3/ADCY2/BAX/TSC2/PIK3R2/RHEB/CREB3/RPS6KB1/PRKAG3/PIK3R3/STK11/ADCY7/ATG101/KRAS/EIF4E2/IGF1R/TP53/RPTOR/AKT1/PRKACB/CREB3L4/EIF4E/CAMK4/CREB3L1/ADIPOR1/ADCY9/PRKAA2/ADCY1/RELA/HRAS/RPS6KB2/EIF4E1B/ULK1/EHMT1/PRKAG1/EIF4EBP1/EHMT2/AKT1S1/NRAS/ATF6B",41,41,90
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","31/3832","68/8545",0.455882352941176,1.01657481886283,0.123730510810145,0.497806672981431,1,0.870620354921887,"BAD/SPI1/ARAF/CEBPE/PIM2/IKBKB/PIK3R2/RPS6KB1/CCND1/PPARD/PIK3R3/FLT3/MAP2K2/RARA/CCNA1/KRAS/LEF1/BCL2A1/AKT1/CCNA2/FCGR1A/RUNX1/ITGAM/RELA/JUP/HRAS/RPS6KB2/GRB2/EIF4EBP1/NRAS/IKBKG",31,31,68
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","35/3832","77/8545",0.454545454545455,1.01359366103625,0.108040360461617,0.501248560739698,1,0.870620354921887,"BAD/RALA/E2F2/BAK1/MAPK9/RAD51/CDC42/ARAF/BAX/E2F1/IKBKB/TGFB1/PIK3R2/RPS6KB1/CCND1/E2F3/VEGFA/STAT1/PIK3R3/TGFB3/RAC2/GADD45G/KRAS/CDK4/RAC1/BRCA2/TP53/ERBB2/AKT1/CDKN2A/RAC3/BCL2L1/RELA/RPS6KB2/IKBKG",35,35,77
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","30/3832","66/8545",0.454545454545455,1.01359366103625,0.0999610332804366,0.507979758055832,1,0.870620354921887,"FOXP3/TBX21/IL12RB2/IL12RB1/IL21R/TGFB1/GATA3/IL23A/IFNG/IL12B/STAT1/TGFB3/IL21/RORC/IL2RG/IL18/IFNGR2/NOD2/RELA/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB2/TNF/HLA-DOB/HLA-DMB",30,30,66
"hsa04150","Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","71/3832","158/8545",0.449367088607595,1.00204639148014,0.023410386893138,0.52177916542118,1,0.870620354921887,"ATP6V1H/GSK3B/SEH1L/DEPDC5/ATP6V1D/TELO2/TTI1/NPRL3/TSC2/SLC7A5/IKBKB/PIK3R2/WNT2/RHEB/DVL1/WNT3/RPS6KB1/WNT5A/NPRL2/ATP6V1A/LAMTOR2/PIK3R3/RPS6KA1/STK11/PRKCG/MAP2K2/WDR24/ATP6V1F/KRAS/LAMTOR5/PRR5L/WNT10A/EIF4E2/ATP6V1G1/IGF1R/PDPK1/RPTOR/AKT1/WNT9A/ATP6V1C2/SKP2/TBC1D7/ATP6V1B2/LAMTOR1/EIF4E/WNT3A/WNT7A/ATP6V1C1/SEC13/DVL3/PRKAA2/WNT4/MIOS/FZD6/MLST8/SLC3A2/DDIT4/HRAS/RPS6KB2/EIF4E1B/RNF152/ULK1/GRB2/FZD2/EIF4EBP1/WNT7B/LAMTOR4/AKT1S1/NRAS/ATP6V1G2/TNF",71,71,158
"hsa04977","Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","12/3832","26/8545",0.461538461538462,1.02918740966758,0.134394832030554,0.522335754911069,1,0.870620354921887,"SLC52A3/ABCC1/RBP2/SLC19A2/APOA1/MMACHC/CBLIF/SLC5A6/AMN/SLC23A1/SLC19A1/PNLIP",12,12,26
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","49/3832","109/8545",0.44954128440367,1.00243483174044,0.0230679269888898,0.528121519978846,1,0.870620354921887,"FOXP3/MAPK9/TBX21/HSP90AA1/HSP90AB1/IL12RB1/IL2RB/HIF1A/IL21R/IKBKB/NFKBIB/EBI3/TGFB1/TYK2/JAK3/GATA3/IL23A/IFNG/ZAP70/STAT1/RARA/IL2RA/IL21/RORC/NFKBIE/IL2RG/MAPK13/IFNGR2/RUNX1/CD3G/CD3D/RELA/HLA-DQB1/LCK/MAPK12/HLA-DRB1/HLA-DQA1/IL27/HLA-DRB5/CD247/CD3E/HLA-DRA/LAT/HLA-DPB1/HLA-DPA1/HLA-DQB2/HLA-DOB/HLA-DMB/IKBKG",49,49,109
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","28/3832","62/8545",0.451612903225806,1.00705434709408,0.050265798482611,0.529266228797521,1,0.870620354921887,"PSEN1/DLL3/DTX2/SNW1/TLE6/LFNG/DVL1/KAT2A/HES1/HDAC1/APH1A/RBPJL/TLE3/PSEN2/CTBP1/DVL3/NCSTN/DTX3L/HEYL/RFNG/PTCRA/CTBP2/DTX3/NCOR2/HDAC2/NRARP/PSENEN/TLE7",28,28,62
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","40/3832","89/8545",0.449438202247191,1.00220496821562,0.0188542603549806,0.533707704462117,1,0.870620354921887,"ITGA2B/CD44/IBSP/COL9A2/HMMR/GP6/COL9A3/COMP/COL1A1/VTN/COL9A1/ITGA4/FN1/SDC1/TNR/SPP1/SDC4/LAMA5/CHAD/THBS1/ITGA11/ITGAV/COL2A1/ITGB7/COL6A1/COL6A2/FREM2/DSPP/DMP1/MEPE/ITGA5/COL6A3/COL1A2/NPNT/THBS3/COL6A5/GP5/GP1BA/THBS2/AGRN",40,40,89
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","52/3832","116/8545",0.448275862068966,0.99961305881506,-0.00378338532644016,0.537673622974562,1,0.870620354921887,"PFKP/PKM/IDH3G/SDHA/ENO1/ME2/ACOX3/FH/HAO1/PRPS2/PGK1/GPI/ENO3/GAPDH/TPI1/ENO2/PCCB/GOT1/ACAT2/GOT2/PGLS/FBP2/PSAT1/SDS/SDSL/PFKL/SDHC/PKLR/MDH2/PSPH/PRPS1/TKFC/ALDOA/RPIA/ACSS1/HKDC1/HK1/ADPGK/G6PD/HK3/FBP1/PGK2/PGAM1/TALDO1/GLDC/IDH2/SHMT2/PGP/ENO4/OGDHL/RPE/PGAM4",52,52,116
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","22/3832","49/8545",0.448979591836735,1.00118231008479,0.00748370797432358,0.552297791516059,1,0.870620354921887,"SLC18A1/CREB3L3/GNAI3/GNAS/GRIN2D/CREB3/GRIN3B/GRIA2/DDC/SLC6A3/PRKACB/CREB3L4/CREB3L1/GPSM1/GRIN2C/GRM2/CDK5/RELA/CDK5R1/GRIN1/TH/ATF6B",22,22,49
"hsa00564","Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","46/3832","103/8545",0.446601941747573,0.995880373756005,-0.0379269924104283,0.553373267642259,1,0.870620354921887,"LYPLA2/PNPLA6/DGKA/PLA2G10/CHAT/DGKD/ACHE/PGS1/PLA2G3/TAFAZZIN/PLA2G15/CDIPT/PLD3/GPD2/GNPAT/PLA2G2D/LYPLA1/LPGAT1/MBOAT7/PLAAT2/SELENOI/ETNK1/PLPP2/MBOAT2/ETNK2/PLA1A/DGKQ/PLPP5/DGKZ/LPCAT1/AGPAT5/PTDSS1/GPAT4/PLA2G2F/PLA2G4D/AGPAT3/CDS1/ETNPPL/PLD4/PLA2G4F/MBOAT1/LCLAT1/PTDSS2/PCYT2/PLA2G2C/PLPP4",46,46,103
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","49/3832","110/8545",0.445454545454545,0.993321787815525,-0.063563625889588,0.562286089222809,1,0.870620354921887,"CAMK2B/PFKP/CAMK2A/TFRC/ENO1/HMOX1/RBX1/HIF1A/PGK1/TIMP1/ELOB/PIK3R2/SERPINE1/CUL2/RPS6KB1/ENO3/CDKN1B/LTBR/IFNG/GAPDH/ENO2/VEGFA/SLC2A1/PIK3R3/PRKCG/MAP2K2/EGLN3/EPO/VHL/LDHA/EIF4E2/IGF1R/ERBB2/PFKL/AKT1/ALDOA/EIF4E/ELOC/HKDC1/HK1/IFNGR2/HK3/LDHC/PGK2/RELA/RPS6KB2/EIF4E1B/EIF4EBP1/EGLN2",49,49,110
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","21/3832","47/8545",0.446808510638298,0.996341002976058,-0.0226802204739284,0.56534207709225,1,0.870620354921887,"ABCC8/MAPK9/PKM/PRKCZ/IKBKB/PIK3R2/PIK3R3/PDX1/CACNA1A/PKLR/CACNA1B/HKDC1/HK1/CACNA1D/HK3/PRKCD/MAFA/SOCS1/KCNJ11/CACNA1E/TNF",21,21,47
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","56/3832","126/8545",0.444444444444444,0.991069357457666,-0.0910609914769228,0.570741035809419,1,0.870620354921887,"ITGA2B/TBXA2R/BTK/LCP2/GNAI3/PRKCZ/ACTB/ARHGEF1/ADCY2/GNAS/GP6/PTGS1/ITPR3/MYLK2/PIK3R2/COL1A1/PIK3R3/VAMP8/MYL12B/GNA13/ADCY7/VASP/F2RL3/PLCB2/MYLK3/PIK3R5/AKT1/PRKACB/FCGR2A/FERMT3/PLCB3/MAPK13/FCER1G/PLA2G4D/PTGIR/ADAMTS13/ADCY9/PRKCI/COL1A2/ADCY1/SYK/COL3A1/PLA2G4F/FGG/FGB/PPP1CA/RASGRP1/GP5/F2/F2R/ACTG1/GP1BA/MAPK12/SRC/ORAI1/PIK3R6",56,56,126
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","51/3832","115/8545",0.443478260869565,0.988914858854497,-0.107912315233514,0.578917611988171,1,0.870620354921887,"SLC18A1/GNAI3/ARAF/GNB1/KCNN2/GNAO1/GNAS/PTGS1/ITPR3/CACNA1F/SLC6A4/GNB4/PRKCG/GNG13/GNGT1/TPH1/DDC/KRAS/PLCB2/CYP2C8/TPH2/CACNA1A/PRKACB/HTR2C/CACNA1B/HTR3B/PLCB3/CACNA1D/KCNJ6/HTR6/PLA2G4D/GNG3/KCNJ9/KCNJ3/CASP3/GABRB3/HTR3A/GNGT2/GNG8/GNG4/HTR1E/PLA2G4F/GNB2/GNG5/HRAS/HTR1A/ALOX12B/HTR1D/HTR3E/NRAS/GNG10",51,51,115
"hsa00512","Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","16/3832","36/8545",0.444444444444444,0.991069357457666,-0.048416048944223,0.583285083092783,1,0.870620354921887,"ST3GAL1/ST6GALNAC2/GALNT7/GALNT18/GALNT5/ST6GALNAC4/GALNT6/GCNT3/GALNT1/GALNT2/GALNT14/GALNT10/C1GALT1C1/GALNTL6/GCNT1/B3GNT6",16,16,36
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","31/3832","70/8545",0.442857142857143,0.987529824038175,-0.0944596644333577,0.583539815992612,1,0.870620354921887,"BAD/CDC42/ARAF/FH/RBX1/HIF1A/ELOB/TGFB1/PIK3R2/CUL2/VEGFA/SLC2A1/PIK3R3/TGFB3/MAP2K2/EGLN3/PAK4/KRAS/VHL/RAC1/PAK6/AKT1/PRCC/PAK1/ELOC/ARNT2/HRAS/GRB2/PAK2/NRAS/EGLN2",31,31,70
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","38/3832","86/8545",0.441860465116279,0.985307326309657,-0.123476751921097,0.590463593360139,1,0.870620354921887,"ABCC8/CAMK2B/CREB3L3/ATP1B3/CAMK2A/ADCY2/KCNN2/GNAS/ITPR3/CACNA1F/ATP1A3/KCNN1/RAB3A/STX1A/CREB3/SLC2A1/ADCY7/PRKCG/TRPM4/SNAP25/ATP1A4/PLCB2/PDX1/PRKACB/ATP1B1/CREB3L4/PLCB3/CACNA1D/CREB3L1/GIP/ADCY9/CCKAR/ADCY1/KCNMB3/RIMS2/CCK/KCNJ11/ATF6B",38,38,86
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","34/3832","77/8545",0.441558441558442,0.9846338421495,-0.122127896866858,0.59223217029601,1,0.870620354921887,"BAD/E2F2/BAK1/ARAF/BAX/E2F1/IKBKB/TGFB1/PIK3R2/CCND1/CDKN1B/E2F3/HDAC1/PIK3R3/TGFB3/MAP2K2/GADD45G/KRAS/CDK4/MDM2/TP53/AKT1/CDKN2A/RUNX1/CTBP1/SHC1/BCL2L1/RELA/HRAS/CTBP2/GRB2/HDAC2/NRAS/IKBKG",34,34,77
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","40/3832","91/8545",0.43956043956044,0.980178485397692,-0.171404042872043,0.607890469932181,1,0.870620354921887,"GABRA3/GABRA1/GNAI3/ADCY2/GNB1/GNAO1/GNAS/SLC32A1/OPRM1/GABRG2/GNB4/ADCY7/PRKCG/GNG13/GNGT1/GABBR2/ARRB2/CACNA1A/PRKACB/CACNA1B/KCNJ6/ADCY9/GNG3/KCNJ9/KCNJ3/ADCY1/GABRB3/GNGT2/GNG8/GNG4/GNB2/GRK2/GNG5/GABRR3/GABRA5/GABRD/GRK6/PDE7A/GNG10/GABRQ",40,40,91
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","51/3832","116/8545",0.439655172413793,0.980389730760924,-0.191742848201065,0.611278280291155,1,0.870620354921887,"NCDN/HOMER3/GNAI3/ADCY2/GNB1/GNAO1/GNAS/ITPR3/SLC1A6/GRIN2D/SLC1A1/SLC1A2/SLC38A1/GNB4/GRIN3B/GRIA2/ADCY7/GRM4/PRKCG/GNG13/GNGT1/GLS2/PLCB2/CACNA1A/PRKACB/GRIK4/PLCB3/CACNA1D/PLA2G4D/GRIN2C/SHANK1/ADCY9/SHANK2/GNG3/KCNJ3/GRM2/GRIK2/ADCY1/GNGT2/GNG8/GNG4/PLA2G4F/GRM5/DLGAP1/GNB2/GRK2/GNG5/GRIN1/SLC17A8/GRM8/GNG10",51,51,116
