Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,System Flow,,Pressure,,Fraction,,Injection,,Run Log,,
ml,mAU,ml,mS/cm,ml,%B,ml,ml/min,ml,MPa,ml,Fraction,ml,Injection,ml,Logbook,
7.309,191.1528,7.309,0.3,7.309,0,7.309,5,7.309,0.04,,,,,,,
7.316,191.14,7.316,0.3,7.316,0,7.316,5,7.316,0.04,,,,,,,
7.323,191.14,7.323,0.3,7.323,0,7.323,5,7.323,0.04,,,,,,,
7.33,191.14,7.33,0.3,7.33,0,7.33,5,7.33,0.04,,,,,,,
7.337,191.14,7.337,0.3,7.337,0,7.337,5,7.337,0.04,,,,,,,
7.344,191.14,7.344,0.3,7.344,0,7.344,5,7.344,0.04,,,,,,,
7.351,191.1321,7.351,0.3,7.351,0,7.351,5,7.351,0.04,,,,,,,
7.358,191.1196,7.358,0.3,7.358,0,7.358,5,7.358,0.04,,,,,,,
7.365,191.108,7.365,0.3,7.365,0,7.365,5,7.365,0.04,,,,,,,
7.372,191.0996,7.372,0.3,7.372,0,7.372,5,7.372,0.04,,,,,,,
7.379,191.0912,7.379,0.3,7.379,0,7.379,5,7.379,0.04,,,,,,,
7.386,191.09,7.386,0.3,7.386,0,7.386,5,7.386,0.04,,,,,,,
7.393,191.09,7.393,0.3,7.393,0,7.393,5,7.393,0.04,,,,,,,
7.4,191.09,7.4,0.3,7.4,0,7.4,5,7.4,0.04,,,,,,,
7.407,191.09,7.407,0.3,7.407,0,7.407,5,7.407,0.04,,,,,,,
7.414,191.0889,7.414,0.3,7.414,0,7.414,5,7.414,0.04,,,,,,,
7.421,191.0763,7.421,0.3,7.421,0,7.421,5,7.421,0.04,,,,,,,
7.428,191.0637,7.428,0.3,7.428,0,7.428,5,7.428,0.04,,,,,,,
7.435,191.0511,7.435,0.3,7.435,0,7.435,5,7.435,0.04,,,,,,,
7.442,191.0385,7.442,0.3,7.442,0,7.442,5,7.442,0.04,,,,,,,
7.449,191.03,7.449,0.3,7.449,0,7.449,5,7.449,0.04,,,,,,,
7.456,191.03,7.456,0.3,7.456,0,7.456,5,7.456,0.04,,,,,,,
7.463,191.03,7.463,0.3,7.463,0,7.463,5,7.463,0.04,,,,,,,
7.47,191.03,7.47,0.3,7.47,0,7.47,5,7.47,0.04,,,,,,,
7.477,191.03,7.477,0.3,7.477,0,7.477,5,7.477,0.04,,,,,,,
7.484,191.023,7.484,0.3,7.484,0,7.484,5,7.484,0.04,,,,,,,
7.491,191.0104,7.491,0.3,7.491,0,7.491,5,7.491,0.04,,,,,,,
7.498,190.9985,7.498,0.3,7.498,0,7.498,5,7.498,0.04,,,,,,,
7.505,190.9901,7.505,0.3,7.505,0,7.505,5,7.505,0.04,,,,,,,
7.512,190.9817,7.512,0.3,7.512,0,7.512,5,7.512,0.04,,,,,,,
7.519,190.98,7.519,0.3,7.519,0,7.519,5,7.519,0.04,,,,,,,
7.526,190.98,7.526,0.3,7.526,0,7.526,5,7.526,0.04,,,,,,,
7.533,190.9783,7.533,0.3,7.533,0,7.533,5,7.533,0.04,,,,,,,
7.54,190.9741,7.54,0.3,7.54,0,7.54,5,7.54,0.04,,,,,,,
7.547,190.9698,7.547,0.3,7.547,0,7.547,5,7.547,0.04,,,,,,,
7.554,190.9614,7.554,0.3,7.554,0,7.554,5,7.554,0.04,,,,,,,
7.561,190.953,7.561,0.3,7.561,0,7.561,5,7.561,0.04,,,,,,,
7.568,190.9446,7.568,0.3,7.568,0,7.568,5,7.568,0.04,,,,,,,
7.575,190.9362,7.575,0.3,7.575,0,7.575,5,7.575,0.04,,,,,,,
7.582,190.93,7.582,0.3,7.582,0,7.582,5,7.582,0.04,,,,,,,
7.589,190.93,7.589,0.3,7.589,0,7.589,5,7.589,0.04,,,,,,,
7.596,190.93,7.596,0.3,7.596,0,7.596,5,7.596,0.04,,,,,,,
7.603,190.9263,7.603,0.3,7.603,0,7.603,5,7.603,0.04,,,,,,,
7.61,190.9221,7.61,0.3,7.61,0,7.61,5,7.61,0.04,,,,,,,
7.617,190.9138,7.617,0.3,7.617,0,7.617,5,7.617,0.04,,,,,,,
7.624,190.9012,7.624,0.3,7.624,0,7.624,5,7.624,0.04,,,,,,,
7.631,190.89,7.631,0.3,7.631,0,7.631,5,7.631,0.04,,,,,,,
7.638,190.89,7.638,0.3,7.638,0,7.638,5,7.638,0.04,,,,,,,
7.645,190.89,7.645,0.3,7.645,0,7.645,5,7.645,0.04,,,,,,,
7.652,190.89,7.652,0.3,7.652,0,7.652,5,7.652,0.04,,,,,,,
7.659,190.89,7.659,0.3,7.659,0,7.659,5,7.659,0.04,,,,,,,
7.666,190.8871,7.666,0.3,7.666,0,7.666,5,7.666,0.04,,,,,,,
7.673,190.8788,7.673,0.3,7.673,0,7.673,5,7.673,0.04,,,,,,,
7.68,190.8704,7.68,0.3,7.68,0,7.68,5,7.68,0.04,,,,,,,
7.687,190.8579,7.687,0.3,7.687,0,7.687,5,7.687,0.04,,,,,,,
7.694,190.8453,7.694,0.3,7.694,0,7.694,5,7.694,0.04,,,,,,,
7.701,190.84,7.701,0.3,7.701,0,7.701,5,7.701,0.04,,,,,,,
7.708,190.84,7.708,0.3,7.708,0,7.708,5,7.708,0.04,,,,,,,
7.715,190.84,7.715,0.3,7.715,0,7.715,5,7.715,0.04,,,,,,,
7.722,190.84,7.722,0.3,7.722,0,7.722,5,7.722,0.04,,,,,,,
7.729,190.84,7.729,0.3,7.729,0,7.729,5,7.729,0.04,,,,,,,
7.736,190.8332,7.736,0.3,7.736,0,7.736,5,7.736,0.04,,,,,,,
7.743,190.8248,7.743,0.3,7.743,0,7.743,5,7.743,0.04,,,,,,,
7.75,190.8182,7.75,0.3,7.75,0,7.75,5,7.75,0.04,,,,,,,
7.757,190.814,7.757,0.3,7.757,0,7.757,5,7.757,0.04,,,,,,,
7.764,190.81,7.764,0.3,7.764,0,7.764,5,7.764,0.04,,,,,,,
7.771,190.81,7.771,0.3,7.771,0,7.771,5,7.771,0.04,,,,,,,
7.777,190.81,7.777,0.3,7.777,0,7.777,5,7.777,0.04,,,,,,,
7.784,190.81,7.784,0.3,7.784,0,7.784,5,7.784,0.04,,,,,,,
7.791,190.81,7.791,0.3,7.791,0,7.791,5,7.791,0.04,,,,,,,
7.798,190.8076,7.798,0.3,7.798,0,7.798,5,7.798,0.04,,,,,,,
7.805,190.7993,7.805,0.3,7.805,0,7.805,5,7.805,0.04,,,,,,,
7.812,190.7909,7.812,0.3,7.812,0,7.812,5,7.812,0.04,,,,,,,
7.819,190.7825,7.819,0.3,7.819,0,7.819,5,7.819,0.04,,,,,,,
7.826,190.7741,7.826,0.3,7.826,0,7.826,5,7.826,0.04,,,,,,,
7.833,190.77,7.833,0.3,7.833,0,7.833,5,7.833,0.04,,,,,,,
7.84,190.77,7.84,0.3,7.84,0,7.84,5,7.84,0.04,,,,,,,
7.847,190.77,7.847,0.3,7.847,0,7.847,5,7.847,0.04,,,,,,,
7.854,190.77,7.854,0.3,7.854,0,7.854,5,7.854,0.04,,,,,,,
7.861,190.77,7.861,0.3,7.861,0,7.861,5,7.861,0.04,,,,,,,
7.868,190.7638,7.868,0.3,7.868,0,7.868,5,7.868,0.04,,,,,,,
7.875,190.7554,7.875,0.3,7.875,0,7.875,5,7.875,0.04,,,,,,,
7.882,190.7485,7.882,0.3,7.882,0,7.882,5,7.882,0.04,,,,,,,
7.889,190.7443,7.889,0.3,7.889,0,7.889,5,7.889,0.04,,,,,,,
7.896,190.7401,7.896,0.3,7.896,0,7.896,5,7.896,0.04,,,,,,,
7.903,190.74,7.903,0.3,7.903,0,7.903,5,7.903,0.04,,,,,,,
7.91,190.74,7.91,0.3,7.91,0,7.91,5,7.91,0.04,,,,,,,
7.917,190.74,7.917,0.3,7.917,0,7.917,5,7.917,0.04,,,,,,,
7.924,190.74,7.924,0.3,7.924,0,7.924,5,7.924,0.04,,,,,,,
7.931,190.7391,7.931,0.3,7.931,0,7.931,5,7.931,0.04,,,,,,,
7.938,190.7349,7.938,0.3,7.938,0,7.938,5,7.938,0.04,,,,,,,
7.945,190.7307,7.945,0.3,7.945,0,7.945,5,7.945,0.04,,,,,,,
7.952,190.7265,7.952,0.3,7.952,0,7.952,5,7.952,0.04,,,,,,,
7.959,190.7223,7.959,0.3,7.959,0,7.959,5,7.959,0.04,,,,,,,
7.966,190.72,7.966,0.3,7.966,0,7.966,5,7.966,0.04,,,,,,,
7.973,190.72,7.973,0.3,7.973,0,7.973,5,7.973,0.04,,,,,,,
7.98,190.7198,7.98,0.3,7.98,0,7.98,5,7.98,0.04,,,,,,,
7.987,190.7155,7.987,0.3,7.987,0,7.987,5,7.987,0.04,,,,,,,
7.994,190.7113,7.994,0.3,7.994,0,7.994,5,7.994,0.04,,,,,,,
8.001,190.7071,8.001,0.3,8.001,0,8.001,5,8.001,0.04,,,,,,,
8.008,190.7029,8.008,0.3,8.008,0,8.008,5,8.008,0.04,,,,,,,
8.015,190.7,8.015,0.3,8.015,0,8.015,5,8.015,0.04,,,,,,,
8.022,190.7,8.022,0.3,8.022,0,8.022,5,8.022,0.04,,,,,,,
8.029,190.7,8.029,0.3,8.029,0,8.029,5,8.029,0.04,,,,,,,
8.036,190.7,8.036,0.3,8.036,0,8.036,5,8.036,0.04,,,,,,,
8.043,190.7,8.043,0.3,8.043,0,8.043,5,8.043,0.04,,,,,,,
8.05,190.6978,8.05,0.3,8.05,0,8.05,5,8.05,0.04,,,,,,,
8.057,190.6936,8.057,0.3,8.057,0,8.057,5,8.057,0.04,,,,,,,
8.064,190.6894,8.064,0.3,8.064,0,8.064,5,8.064,0.04,,,,,,,
8.071,190.6852,8.071,0.3,8.071,0,8.071,5,8.071,0.04,,,,,,,
8.078,190.681,8.078,0.3,8.078,0,8.078,5,8.078,0.04,,,,,,,
8.085,190.68,8.085,0.3,8.085,0,8.085,5,8.085,0.04,,,,,,,
8.092,190.68,8.092,0.3,8.092,0,8.092,5,8.092,0.04,,,,,,,
8.099,190.68,8.099,0.3,8.099,0,8.099,5,8.099,0.04,,,,,,,
8.106,190.68,8.106,0.3,8.106,0,8.106,5,8.106,0.04,,,,,,,
8.113,190.68,8.113,0.3,8.113,0,8.113,5,8.113,0.04,,,,,,,
8.12,190.6758,8.12,0.3,8.12,0,8.12,5,8.12,0.04,,,,,,,
8.127,190.6716,8.127,0.3,8.127,0,8.127,5,8.127,0.04,,,,,,,
8.134,190.6674,8.134,0.3,8.134,0,8.134,5,8.134,0.04,,,,,,,
8.141,190.6632,8.141,0.3,8.141,0,8.141,5,8.141,0.04,,,,,,,
8.148,190.66,8.148,0.3,8.148,0,8.148,5,8.148,0.04,,,,,,,
8.155,190.66,8.155,0.3,8.155,0,8.155,5,8.155,0.04,,,,,,,
8.162,190.66,8.162,0.3,8.162,0,8.162,5,8.162,0.04,,,,,,,
8.169,190.66,8.169,0.3,8.169,0,8.169,5,8.169,0.04,,,,,,,
8.176,190.66,8.176,0.3,8.176,0,8.176,5,8.176,0.04,,,,,,,
8.183,190.658,8.183,0.3,8.183,0,8.183,5,8.183,0.04,,,,,,,
8.19,190.6538,8.19,0.3,8.19,0,8.19,5,8.19,0.04,,,,,,,
8.197,190.65,8.197,0.3,8.197,0,8.197,5,8.197,0.04,,,,,,,
8.204,190.65,8.204,0.3,8.204,0,8.204,5,8.204,0.04,,,,,,,
8.211,190.65,8.211,0.3,8.211,0,8.211,5,8.211,0.04,,,,,,,
8.218,190.65,8.218,0.3,8.218,0,8.218,5,8.218,0.04,,,,,,,
8.225,190.65,8.225,0.3,8.225,0,8.225,5,8.225,0.04,,,,,,,
8.232,190.65,8.232,0.3,8.232,0,8.232,5,8.232,0.04,,,,,,,
8.239,190.65,8.239,0.3,8.239,0,8.239,5,8.239,0.04,,,,,,,
8.246,190.65,8.246,0.3,8.246,0,8.246,5,8.246,0.04,,,,,,,
8.253,190.6461,8.253,0.3,8.253,0,8.253,5,8.253,0.04,,,,,,,
8.26,190.6419,8.26,0.3,8.26,0,8.26,5,8.26,0.04,,,,,,,
8.267,190.6377,8.267,0.3,8.267,0,8.267,5,8.267,0.04,,,,,,,
8.274,190.6335,8.274,0.3,8.274,0,8.274,5,8.274,0.04,,,,,,,
8.281,190.63,8.281,0.3,8.281,0,8.281,5,8.281,0.04,,,,,,,
8.288,190.63,8.288,0.3,8.288,0,8.288,5,8.288,0.04,,,,,,,
8.295,190.63,8.295,0.3,8.295,0,8.295,5,8.295,0.04,,,,,,,
8.302,190.63,8.302,0.3,8.302,0,8.302,5,8.302,0.04,,,,,,,
8.309,190.63,8.309,0.3,8.309,0,8.309,5,8.309,0.04,,,,,,,
8.316,190.6283,8.316,0.3,8.316,0,8.316,5,8.316,0.04,,,,,,,
8.323,190.6241,8.323,0.3,8.323,0,8.323,5,8.323,0.04,,,,,,,
8.33,190.62,8.33,0.3,8.33,0,8.33,5,8.33,0.04,,,,,,,
8.337,190.62,8.337,0.3,8.337,0,8.337,5,8.337,0.04,,,,,,,
8.344,190.62,8.344,0.3,8.344,0,8.344,5,8.344,0.04,,,,,,,
8.351,190.62,8.351,0.3,8.351,0,8.351,5,8.351,0.04,,,,,,,
8.358,190.62,8.358,0.3,8.358,0,8.358,5,8.358,0.04,,,,,,,
8.365,190.62,8.365,0.3,8.365,0,8.365,5,8.365,0.04,,,,,,,
8.372,190.62,8.372,0.3,8.372,0,8.372,5,8.372,0.04,,,,,,,
8.379,190.62,8.379,0.3,8.379,0,8.379,5,8.379,0.04,,,,,,,
8.386,190.6163,8.386,0.3,8.386,0,8.386,5,8.386,0.04,,,,,,,
8.393,190.6121,8.393,0.3,8.393,0,8.393,5,8.393,0.04,,,,,,,
8.4,190.608,8.4,0.3,8.4,0,8.4,5,8.4,0.04,,,,,,,
8.407,190.6038,8.407,0.3,8.407,0,8.407,5,8.407,0.04,,,,,,,
8.414,190.6,8.414,0.3,8.414,0,8.414,5,8.414,0.04,,,,,,,
8.421,190.6,8.421,0.3,8.421,0,8.421,5,8.421,0.04,,,,,,,
8.428,190.6,8.428,0.3,8.428,0,8.428,5,8.428,0.04,,,,,,,
8.435,190.6,8.435,0.3,8.435,0,8.435,5,8.435,0.04,,,,,,,
8.442,190.6,8.442,0.3,8.442,0,8.442,5,8.442,0.04,,,,,,,
8.449,190.6,8.449,0.3,8.449,0,8.449,5,8.449,0.04,,,,,,,
8.456,190.6,8.456,0.3,8.456,0,8.456,5,8.456,0.04,,,,,,,
8.463,190.6,8.463,0.3,8.463,0,8.463,5,8.463,0.04,,,,,,,
8.47,190.6,8.47,0.3,8.47,0,8.47,5,8.47,0.04,,,,,,,
8.477,190.6,8.477,0.3,8.477,0,8.477,5,8.477,0.04,,,,,,,
8.484,190.6,8.484,0.3,8.484,0,8.484,5,8.484,0.04,,,,,,,
8.491,190.6,8.491,0.3,8.491,0,8.491,5,8.491,0.04,,,,,,,
8.498,190.5992,8.498,0.3,8.498,0,8.498,5,8.498,0.04,,,,,,,
8.505,190.595,8.505,0.3,8.505,0,8.505,5,8.505,0.04,,,,,,,
8.512,190.5908,8.512,0.3,8.512,0,8.512,5,8.512,0.04,,,,,,,
8.519,190.5866,8.519,0.3,8.519,0,8.519,5,8.519,0.04,,,,,,,
8.526,190.5824,8.526,0.3,8.526,0,8.526,5,8.526,0.04,,,,,,,
8.533,190.58,8.533,0.3,8.533,0,8.533,5,8.533,0.04,,,,,,,
8.54,190.58,8.54,0.3,8.54,0,8.54,5,8.54,0.04,,,,,,,
8.547,190.58,8.547,0.3,8.547,0,8.547,5,8.547,0.04,,,,,,,
8.554,190.58,8.554,0.3,8.554,0,8.554,5,8.554,0.04,,,,,,,
8.561,190.58,8.561,0.3,8.561,0,8.561,5,8.561,0.04,,,,,,,
8.568,190.58,8.568,0.3,8.568,0,8.568,5,8.568,0.04,,,,,,,
8.575,190.58,8.575,0.3,8.575,0,8.575,5,8.575,0.04,,,,,,,
8.582,190.5788,8.582,0.3,8.582,0,8.582,5,8.582,0.04,,,,,,,
8.589,190.5747,8.589,0.3,8.589,0,8.589,5,8.589,0.04,,,,,,,
8.596,190.5705,8.596,0.3,8.596,0,8.596,5,8.596,0.04,,,,,,,
8.603,190.57,8.603,0.3,8.603,0,8.603,5,8.603,0.04,,,,,,,
8.61,190.57,8.61,0.3,8.61,0,8.61,5,8.61,0.04,,,,,,,
8.617,190.57,8.617,0.3,8.617,0,8.617,5,8.617,0.04,,,,,,,
8.624,190.57,8.624,0.3,8.624,0,8.624,5,8.624,0.04,,,,,,,
8.631,190.57,8.631,0.3,8.631,0,8.631,5,8.631,0.04,,,,,,,
8.638,190.57,8.638,0.3,8.638,0,8.638,5,8.638,0.04,,,,,,,
8.645,190.57,8.645,0.3,8.645,0,8.645,5,8.645,0.04,,,,,,,
8.652,190.5669,8.652,0.3,8.652,0,8.652,5,8.652,0.04,,,,,,,
8.659,190.5627,8.659,0.3,8.659,0,8.659,5,8.659,0.04,,,,,,,
8.666,190.56,8.666,0.3,8.666,0,8.666,5,8.666,0.04,,,,,,,
8.673,190.56,8.673,0.3,8.673,0,8.673,5,8.673,0.04,,,,,,,
8.68,190.56,8.68,0.3,8.68,0,8.68,5,8.68,0.04,,,,,,,
8.687,190.56,8.687,0.3,8.687,0,8.687,5,8.687,0.04,,,,,,,
8.694,190.56,8.694,0.3,8.694,0,8.694,5,8.694,0.04,,,,,,,
8.701,190.56,8.701,0.3,8.701,0,8.701,5,8.701,0.04,,,,,,,
8.708,190.56,8.708,0.3,8.708,0,8.708,5,8.708,0.04,,,,,,,
8.715,190.56,8.715,0.3,8.715,0,8.715,5,8.715,0.04,,,,,,,
8.722,190.56,8.722,0.3,8.722,0,8.722,5,8.722,0.04,,,,,,,
8.729,190.56,8.729,0.3,8.729,0,8.729,5,8.729,0.04,,,,,,,
8.736,190.56,8.736,0.3,8.736,0,8.736,5,8.736,0.04,,,,,,,
8.743,190.56,8.743,0.3,8.743,0,8.743,5,8.743,0.04,,,,,,,
8.75,190.56,8.75,0.3,8.75,0,8.75,5,8.75,0.04,,,,,,,
8.757,190.56,8.757,0.3,8.757,0,8.757,5,8.757,0.04,,,,,,,
8.764,190.5598,8.764,0.3,8.764,0,8.764,5,8.764,0.04,,,,,,,
8.771,190.5556,8.771,0.3,8.771,0,8.771,5,8.771,0.04,,,,,,,
8.778,190.5513,8.778,0.3,8.778,0,8.778,5,8.778,0.04,,,,,,,
8.785,190.55,8.785,0.3,8.785,0,8.785,5,8.785,0.04,,,,,,,
8.792,190.55,8.792,0.3,8.792,0,8.792,5,8.792,0.04,,,,,,,
8.799,190.55,8.799,0.3,8.799,0,8.799,5,8.799,0.04,,,,,,,
8.806,190.55,8.806,0.3,8.806,0,8.806,5,8.806,0.04,,,,,,,
8.813,190.55,8.813,0.3,8.813,0,8.813,5,8.813,0.04,,,,,,,
8.819,190.55,8.819,0.3,8.819,0,8.819,5,8.819,0.04,,,,,,,
8.826,190.55,8.826,0.3,8.826,0,8.826,5,8.826,0.04,,,,,,,
8.833,190.55,8.833,0.3,8.833,0,8.833,5,8.833,0.04,,,,,,,
8.84,190.55,8.84,0.3,8.84,0,8.84,5,8.84,0.04,,,,,,,
8.847,190.5494,8.847,0.3,8.847,0,8.847,5,8.847,0.04,,,,,,,
8.854,190.5452,8.854,0.3,8.854,0,8.854,5,8.854,0.04,,,,,,,
8.861,190.541,8.861,0.3,8.861,0,8.861,5,8.861,0.04,,,,,,,
8.868,190.54,8.868,0.3,8.868,0,8.868,5,8.868,0.04,,,,,,,
8.875,190.54,8.875,0.3,8.875,0,8.875,5,8.875,0.04,,,,,,,
8.882,190.54,8.882,0.3,8.882,0,8.882,5,8.882,0.04,,,,,,,
8.889,190.54,8.889,0.3,8.889,0,8.889,5,8.889,0.04,,,,,,,
8.896,190.54,8.896,0.3,8.896,0,8.896,5,8.896,0.04,,,,,,,
8.903,190.54,8.903,0.3,8.903,0,8.903,5,8.903,0.04,,,,,,,
8.91,190.54,8.91,0.3,8.91,0,8.91,5,8.91,0.04,,,,,,,
8.917,190.54,8.917,0.3,8.917,0,8.917,5,8.917,0.04,,,,,,,
8.924,190.54,8.924,0.3,8.924,0,8.924,5,8.924,0.04,,,,,,,
8.931,190.54,8.931,0.3,8.931,0,8.931,5,8.931,0.04,,,,,,,
8.938,190.54,8.938,0.3,8.938,0,8.938,5,8.938,0.04,,,,,,,
8.945,190.54,8.945,0.3,8.945,0,8.945,5,8.945,0.04,,,,,,,
8.952,190.54,8.952,0.3,8.952,0,8.952,5,8.952,0.04,,,,,,,
8.959,190.54,8.959,0.3,8.959,0,8.959,5,8.959,0.04,,,,,,,
8.966,190.54,8.966,0.3,8.966,0,8.966,5,8.966,0.04,,,,,,,
8.973,190.54,8.973,0.3,8.973,0,8.973,5,8.973,0.04,,,,,,,
8.98,190.54,8.98,0.3,8.98,0,8.98,5,8.98,0.04,,,,,,,
8.987,190.54,8.987,0.3,8.987,0,8.987,5,8.987,0.04,,,,,,,
8.994,190.54,8.994,0.3,8.994,0,8.994,5,8.994,0.04,,,,,,,
9.001,190.54,9.001,0.3,9.001,0,9.001,5,9.001,0.04,,,,,,,
9.008,190.54,9.008,0.3,9.008,0,9.008,5,9.008,0.04,,,,,,,
9.015,190.5413,9.015,0.3,9.015,0,9.015,5,9.015,0.04,,,,,,,
9.022,190.5455,9.022,0.3,9.022,0,9.022,5,9.022,0.04,,,,,,,
9.029,190.5497,9.029,0.3,9.029,0,9.029,5,9.029,0.04,,,,,,,
9.036,190.5461,9.036,0.3,9.036,0,9.036,5,9.036,0.04,,,,,,,
9.043,190.5419,9.043,0.3,9.043,0,9.043,5,9.043,0.04,,,,,,,
9.05,190.54,9.05,0.3,9.05,0,9.05,5,9.05,0.04,,,,,,,
9.057,190.54,9.057,0.3,9.057,0,9.057,5,9.057,0.04,,,,,,,
9.064,190.54,9.064,0.3,9.064,0,9.064,5,9.064,0.04,,,,,,,
9.071,190.54,9.071,0.3,9.071,0,9.071,5,9.071,0.04,,,,,,,
9.078,190.54,9.078,0.3,9.078,0,9.078,5,9.078,0.04,,,,,,,
9.085,190.5367,9.085,0.3,9.085,0,9.085,5,9.085,0.04,,,,,,,
9.092,190.5325,9.092,0.3,9.092,0,9.092,5,9.092,0.04,,,,,,,
9.099,190.53,9.099,0.3,9.099,0,9.099,5,9.099,0.04,,,,,,,
9.106,190.53,9.106,0.3,9.106,0,9.106,5,9.106,0.04,,,,,,,
9.113,190.53,9.113,0.3,9.113,0,9.113,5,9.113,0.04,,,,,,,
9.12,190.53,9.12,0.3,9.12,0,9.12,5,9.12,0.04,,,,,,,
9.127,190.53,9.127,0.3,9.127,0,9.127,5,9.127,0.04,,,,,,,
9.134,190.53,9.134,0.3,9.134,0,9.134,5,9.134,0.03735081,,,,,,,
9.141,190.53,9.141,0.3,9.141,0,9.141,5,9.141,0.03316315,,,,,,,
9.148,190.529,9.148,0.3,9.148,0,9.148,5,9.148,0.03,,,,,,,
9.155,190.5248,9.155,0.3,9.155,0,9.155,5,9.155,0.03,,,,,,,
9.162,190.5206,9.162,0.3,9.162,0,9.162,5,9.162,0.03,,,,,,,
9.169,190.52,9.169,0.3,9.169,0,9.169,5,9.169,0.03,,,,,,,
9.176,190.52,9.176,0.3,9.176,0,9.176,5,9.176,0.03,,,,,,,
9.183,190.52,9.183,0.3,9.183,0,9.183,5,9.183,0.03,,,,,,,
9.19,190.52,9.19,0.3,9.19,0,9.19,5,9.19,0.03,,,,,,,
9.197,190.52,9.197,0.3,9.197,0,9.197,5,9.197,0.03,,,,,,,
9.204,190.52,9.204,0.3,9.204,0,9.204,5,9.204,0.03,,,,,,,
9.211,190.52,9.211,0.3,9.211,0,9.211,5,9.211,0.03,,,,,,,
9.218,190.52,9.218,0.3,9.218,0,9.218,5,9.218,0.03,,,,,,,
9.225,190.52,9.225,0.3,9.225,0,9.225,5,9.225,0.03,,,,,,,
9.232,190.52,9.232,0.3,9.232,0,9.232,5,9.232,0.03,,,,,,,
9.239,190.52,9.239,0.3,9.239,0,9.239,5,9.239,0.03,,,,,,,
9.246,190.52,9.246,0.3,9.246,0,9.246,5,9.246,0.03,,,,,,,
9.253,190.52,9.253,0.3,9.253,0,9.253,5,9.253,0.03,,,,,,,
9.26,190.52,9.26,0.3,9.26,0,9.26,5,9.26,0.03,,,,,,,
9.267,190.52,9.267,0.3,9.267,0,9.267,5,9.267,0.03,,,,,,,
9.274,190.52,9.274,0.3,9.274,0,9.274,5,9.274,0.03,,,,,,,
9.281,190.5192,9.281,0.3,9.281,0,9.281,5,9.281,0.03,,,,,,,
9.288,190.515,9.288,0.3,9.288,0,9.288,5,9.288,0.03,,,,,,,
9.295,190.5108,9.295,0.3,9.295,0,9.295,5,9.295,0.03,,,,,,,
9.302,190.51,9.302,0.3,9.302,0,9.302,5,9.302,0.03,,,,,,,
9.309,190.51,9.309,0.3,9.309,0,9.309,5,9.309,0.03,,,,,,,
9.316,190.51,9.316,0.3,9.316,0,9.316,5,9.316,0.03,,,,,,,
9.323,190.51,9.323,0.3,9.323,0,9.323,5,9.323,0.03,,,,,,,
9.33,190.5101,9.33,0.3,9.33,0,9.33,5,9.33,0.03,,,,,,,
9.337,190.5143,9.337,0.3,9.337,0,9.337,5,9.337,0.03,,,,,,,
9.344,190.5185,9.344,0.3,9.344,0,9.344,5,9.344,0.03,,,,,,,
9.351,190.52,9.351,0.3,9.351,0,9.351,5,9.351,0.03,,,,,,,
9.358,190.52,9.358,0.3,9.358,0,9.358,5,9.358,0.03,,,,,,,
9.365,190.52,9.365,0.3,9.365,0,9.365,5,9.365,0.03,,,,,,,
9.372,190.52,9.372,0.3,9.372,0,9.372,5,9.372,0.03,,,,,,,
9.379,190.52,9.379,0.3,9.379,0,9.379,5,9.379,0.03,,,,,,,
9.386,190.52,9.386,0.3,9.386,0,9.386,5,9.386,0.03,,,,,,,
9.393,190.52,9.393,0.3,9.393,0,9.393,5,9.393,0.03,,,,,,,
9.4,190.52,9.4,0.3,9.4,0,9.4,5,9.4,0.03,,,,,,,
9.407,190.52,9.407,0.3,9.407,0,9.407,5,9.407,0.03,,,,,,,
9.414,190.5195,9.414,0.3,9.414,0,9.414,5,9.414,0.03,,,,,,,
9.421,190.5153,9.421,0.3,9.421,0,9.421,5,9.421,0.03,,,,,,,
9.428,190.5111,9.428,0.3,9.428,0,9.428,5,9.428,0.03,,,,,,,
9.435,190.51,9.435,0.3,9.435,0,9.435,5,9.435,0.03,,,,,,,
9.442,190.51,9.442,0.3,9.442,0,9.442,5,9.442,0.03,,,,,,,
9.449,190.51,9.449,0.3,9.449,0,9.449,5,9.449,0.03,,,,,,,
9.456,190.51,9.456,0.3,9.456,0,9.456,5,9.456,0.03,,,,,,,
9.463,190.51,9.463,0.3,9.463,0,9.463,5,9.463,0.03,,,,,,,
9.47,190.51,9.47,0.3,9.47,0,9.47,5,9.47,0.03,,,,,,,
9.477,190.51,9.477,0.3,9.477,0,9.477,5,9.477,0.03,,,,,,,
9.484,190.5075,9.484,0.3,9.484,0,9.484,5,9.484,0.03,,,,,,,
9.491,190.5034,9.491,0.3,9.491,0,9.491,5,9.491,0.03,,,,,,,
9.498,190.5,9.498,0.3,9.498,0,9.498,5,9.498,0.03,,,,,,,
9.505,190.5,9.505,0.3,9.505,0,9.505,5,9.505,0.03,,,,,,,
9.512,190.5,9.512,0.3,9.512,0,9.512,5,9.512,0.03,,,,,,,
9.519,190.5,9.519,0.3,9.519,0,9.519,5,9.519,0.03,,,,,,,
9.526,190.5,9.526,0.3,9.526,0,9.526,5,9.526,0.03,,,,,,,
